"一级","专业名","专业id","专业编码","别名"
城市轨道交通类,城市轨道交通运营管理,100037,"0/100031/100037","城市轨道交通运营管理,Urban rail transit operation management"
城市轨道交通类,城市轨道交通车辆运用与检修,100038,"0/100031/100038","城市轨道交通车辆运用与检修,Urban rail transit vehicle operation and maintenance"
城市轨道交通类,城市轨道交通信号维护,100039,"0/100031/100039","城市轨道交通信号维护,Urban rail transit signal maintenance"
城市轨道交通类,城市轨道交通供电,100040,"0/100031/100040","城市轨道交通供电,Urban rail transit power supply"
城市轨道交通类,城市轨道交通运营服务,100041,"0/100031/100041","城市轨道交通运营服务,Urban rail transit operation services"
城市轨道交通类,城市轨道交通信号与控制技术,100042,"0/100031/100042","城市轨道交通信号与控制技术,Urban rail transit signal and control technology"
城市轨道交通类,城市轨道交通设备与控制技术,100043,"0/100031/100043","城市轨道交通设备与控制技术,Urban rail transit equipment and control technology"
城市轨道交通类,城市轨道交通智能运营,100044,"0/100031/100044","城市轨道交通智能运营,Intelligent Operation of Urban Rail Transit"
海洋工程类,船舶与海洋工程,100046,"0/100045/100046","船舶与海洋工程,Naval Architecture and Marine Engineering"
海洋工程类,海洋工程与技术,100047,"0/100045/100047","海洋工程与技术,Marine Engineering and Technology"
海洋工程类,海洋资源开发技术,100048,"0/100045/100048","海洋资源开发技术,Marine resource development technology"
海洋工程类,海洋机器人,100049,"0/100045/100049","海洋机器人,Marine Robots"
海洋工程类,智慧海洋技术,100050,"0/100045/100050","智慧海洋技术,Smart Ocean Technology"
文学类,出版,100052,"0/100051/100052","出版,publishing"
文学类,翻译,100053,"0/100051/100053","翻译,translate"
文学类,外国语言文学,100054,"0/100051/100054","外国语言文学,Foreign Languages ​​and Literature"
文学类,新闻传播学,100055,"0/100051/100055","新闻传播学,Journalism and Communication"
文学类,新闻与传播,100056,"0/100051/100056","新闻与传播,News and Communications"
文学类,中国语言文学,100057,"0/100051/100057","中国语言文学,Chinese Language and Literature"
物流管理与工程类,物流管理,100059,"0/100058/100059","物流管理,Logistics Management"
物流管理与工程类,物流工程,100060,"0/100058/100060","物流工程,Logistics Engineering"
物流管理与工程类,釆购管理,100061,"0/100058/100061","釆购管理,Procurement Management"
物流管理与工程类,供应链管理,100062,"0/100058/100062","供应链管理,supply chain management"
康复治疗类,康复治疗技术,100064,"0/100063/100064","康复治疗技术,Rehabilitation therapy technology"
康复治疗类,康复辅助器具技术,100065,"0/100063/100065","康复辅助器具技术,Rehabilitation assistive device technology"
康复治疗类,言语听觉康复技术,100066,"0/100063/100066","言语听觉康复技术,Speech and hearing rehabilitation technology"
康复治疗类,康复技术,100067,"0/100063/100067","康复技术,Rehabilitation Technology"
康复治疗类,康复辅助器具技术及应用,100068,"0/100063/100068","康复辅助器具技术及应用,Rehabilitation assistive device technology and application"
康复治疗类,康复治疗,100069,"0/100063/100069","康复治疗,Rehabilitation"
康复治疗类,言语听觉治疗技术,100070,"0/100063/100070","言语听觉治疗技术,Speech and Hearing Therapy Technology"
康复治疗类,儿童康复治疗,100071,"0/100063/100071","儿童康复治疗,Children's rehabilitation therapy"
社会学类,社会学,100073,"0/100072/100073","社会学,sociology"
社会学类,社会工作,100074,"0/100072/100074","社会工作,Social Work"
社会学类,人类学,100075,"0/100072/100075","人类学,anthropology"
社会学类,女性学,100076,"0/100072/100076","女性学,Women's Studies"
社会学类,家政学,100077,"0/100072/100077","家政学,Home Economics"
社会学类,老年学,100078,"0/100072/100078","老年学,Gerontology"
社会学类,社会政策,100079,"0/100072/100079","社会政策,Social Policy"
城乡规划学,城乡规划学,100081,"0/100080/100081","城乡规划学,Urban and Rural Planning"
核科学与技术类,核科学与技术,100083,"0/100082/100083","核科学与技术,Nuclear Science and Technology"
新闻传播学类,新闻学,100085,"0/100084/100085","新闻学,Journalism"
新闻传播学类,广播电视学,100086,"0/100084/100086","广播电视学,Broadcasting and Television"
新闻传播学类,广告学,100087,"0/100084/100087","广告学,Advertising"
新闻传播学类,传播学,100088,"0/100084/100088","传播学,Communication"
新闻传播学类,编辑出版学,100089,"0/100084/100089","编辑出版学,Editing and Publishing"
新闻传播学类,网络与新媒体,100090,"0/100084/100090","网络与新媒体,Internet and New Media"
新闻传播学类,数字出版,100091,"0/100084/100091","数字出版,Digital Publishing"
新闻传播学类,时尚传播,100092,"0/100084/100092","时尚传播,Fashion Communication"
新闻传播学类,国际新闻与传播,100093,"0/100084/100093","国际新闻与传播,International News and Communications"
新闻传播学类,新闻传播学,100094,"0/100084/100094","新闻传播学,Journalism and Communication"
自然保护与环境生态类,农业资源与环境,100096,"0/100095/100096","农业资源与环境,Agricultural resources and environment"
自然保护与环境生态类,野生动物与自然保护区管理,100097,"0/100095/100097","野生动物与自然保护区管理,Wildlife and nature reserve management"
自然保护与环境生态类,水土保持与荒漠化防治,100098,"0/100095/100098","水土保持与荒漠化防治,Soil and Water Conservation and Desertification Control"
自然保护与环境生态类,生物质科学与工程,100099,"0/100095/100099","生物质科学与工程,Biomass Science and Engineering"
自然保护与环境生态类,土地科学与技术,100100,"0/100095/100100","土地科学与技术,Land Science and Technology"
自然保护与环境生态类,湿地保护与恢复,100101,"0/100095/100101","湿地保护与恢复,Wetland Protection and Restoration"
化学类,化学,100103,"0/100102/100103","化学,Chemical"
化学类,应用化学,100104,"0/100102/100104","应用化学,Applied Chemistry"
化学类,化学生物学,100105,"0/100102/100105","化学生物学,Chemical Biology"
化学类,分子科学与工程,100106,"0/100102/100106","分子科学与工程,Molecular Science and Engineering"
化学类,能源化学,100107,"0/100102/100107","能源化学,Energy Chemistry"
化学类,化学测量学与技术,100108,"0/100102/100108","化学测量学与技术,Chemical Metrology and Technology"
体育学类,体育教育,100110,"0/100109/100110","体育教育,Physical Education"
体育学类,运动训练,100111,"0/100109/100111","运动训练,Sports Training"
体育学类,社会体育指导与管理,100112,"0/100109/100112","社会体育指导与管理,Social Sports Guidance and Management"
体育学类,武术与民族传统体育,100113,"0/100109/100113","武术与民族传统体育,Wushu and traditional national sports"
体育学类,运动人体科学,100114,"0/100109/100114","运动人体科学,Human Sports Science"
体育学类,运动康复,100115,"0/100109/100115","运动康复,Sports rehabilitation"
体育学类,休闲体育,100116,"0/100109/100116","休闲体育,Leisure Sports"
体育学类,体能训练,100117,"0/100109/100117","体能训练,Physical training"
体育学类,冰雪运动,100118,"0/100109/100118","冰雪运动,Ice and Snow Sports"
体育学类,电子竞技运动与管理,100119,"0/100109/100119","电子竞技运动与管理,E-sports and management"
体育学类,智能体育工程,100120,"0/100109/100120","智能体育工程,Smart Sports Engineering"
体育学类,体育旅游,100121,"0/100109/100121","体育旅游,Sports Tourism"
体育学类,运动能力开发,100122,"0/100109/100122","运动能力开发,Sports ability development"
体育学类,体育学,100123,"0/100109/100123","体育学,Sports Science"
轻工技术与工程类,轻工技术与工程,100125,"0/100124/100125","轻工技术与工程,Light Industry Technology and Engineering"
金融类,金融服务与管理,100127,"0/100126/100127","金融服务与管理,Financial Services and Management"
金融类,金融科技应用,100128,"0/100126/100128","金融科技应用,Fintech Applications"
金融类,保险实务,100129,"0/100126/100129","保险实务,Insurance Practice"
金融类,信用管理,100130,"0/100126/100130","信用管理,Credit Management"
金融类,财富管理,100131,"0/100126/100131","财富管理,Wealth Management"
金融类,证券实务,100132,"0/100126/100132","证券实务,Securities Practice"
金融类,国际金融,100133,"0/100126/100133","国际金融,International Finance"
金融类,农村金融,100134,"0/100126/100134","农村金融,Rural Finance"
金融类,金融事务,100135,"0/100126/100135","金融事务,Financial Affairs"
金融类,金融管理,100136,"0/100126/100136","金融管理,Financial Management"
金融类,保险,100137,"0/100126/100137","保险,Insurance"
矿业类,釆矿工程,100139,"0/100138/100139","釆矿工程,Mining Engineering"
矿业类,石油工程,100140,"0/100138/100140","石油工程,Petroleum Engineering"
矿业类,矿物加工工程,100141,"0/100138/100141","矿物加工工程,Mineral Processing Engineering"
矿业类,油气储运工程,100142,"0/100138/100142","油气储运工程,Oil and gas storage and transportation engineering"
矿业类,矿物资源工程,100143,"0/100138/100143","矿物资源工程,Mineral Resources Engineering"
矿业类,海洋油气工程,100144,"0/100138/100144","海洋油气工程,Offshore Oil and Gas Engineering"
矿业类,智能采矿工程,100145,"0/100138/100145","智能采矿工程,Smart Mining Engineering"
矿业类,碳储科学与工程,100146,"0/100138/100146","碳储科学与工程,Carbon Storage Science and Engineering"
统计学类,统计学,100148,"0/100147/100148","统计学,statistics"
统计学类,应用统计学,100149,"0/100147/100149","应用统计学,Applied Statistics"
材料科学与工程类,材料科学与工程,100151,"0/100150/100151","材料科学与工程,Materials Science and Engineering"
外国语言文学类,桑戈语,100153,"0/100152/100153","桑戈语,Sango"
外国语言文学类,英语,100154,"0/100152/100154","英语,English"
外国语言文学类,俄语,100155,"0/100152/100155","俄语,Russian"
外国语言文学类,徳语,100156,"0/100152/100156","徳语,German"
外国语言文学类,法语,100157,"0/100152/100157","法语,French"
外国语言文学类,西班牙语,100158,"0/100152/100158","西班牙语,Spanish"
外国语言文学类,阿拉伯语,100159,"0/100152/100159","阿拉伯语,Arabic"
外国语言文学类,日语,100160,"0/100152/100160","日语,Japanese"
外国语言文学类,波斯语,100161,"0/100152/100161","波斯语,Persian"
外国语言文学类,朝鲜语,100162,"0/100152/100162","朝鲜语,Korean language"
外国语言文学类,菲律宾语,100163,"0/100152/100163","菲律宾语,Filipino"
外国语言文学类,语言学,100164,"0/100152/100164","语言学,linguistics"
外国语言文学类,塔玛齐格特语,100165,"0/100152/100165","塔玛齐格特语,Tamazigit"
外国语言文学类,爪哇语,100166,"0/100152/100166","爪哇语,Javanese"
外国语言文学类,旁遮普语,100167,"0/100152/100167","旁遮普语,Punjabi"
外国语言文学类,梵语巴利语,100168,"0/100152/100168","梵语巴利语,Sanskrit Pali"
外国语言文学类,印度尼西亚语,100169,"0/100152/100169","印度尼西亚语,Indonesian"
外国语言文学类,印地语,100170,"0/100152/100170","印地语,Hindi"
外国语言文学类,柬埔寨语,100171,"0/100152/100171","柬埔寨语,Cambodian"
外国语言文学类,老挝语,100172,"0/100152/100172","老挝语,Lao"
外国语言文学类,缅甸语,100173,"0/100152/100173","缅甸语,Burmese"
外国语言文学类,马来语,100174,"0/100152/100174","马来语,Malay"
外国语言文学类,蒙古语,100175,"0/100152/100175","蒙古语,Mongolian"
外国语言文学类,僧伽罗语,100176,"0/100152/100176","僧伽罗语,Sinhalese"
外国语言文学类,泰语,100177,"0/100152/100177","泰语,Thai"
外国语言文学类,乌尔都语,100178,"0/100152/100178","乌尔都语,Urdu"
外国语言文学类,希伯来语,100179,"0/100152/100179","希伯来语,Hebrew"
外国语言文学类,越南语,100180,"0/100152/100180","越南语,Vietnamese"
外国语言文学类,豪萨语,100181,"0/100152/100181","豪萨语,Hausa"
外国语言文学类,斯瓦希里语,100182,"0/100152/100182","斯瓦希里语,Swahili"
外国语言文学类,阿尔巴尼亚语,100183,"0/100152/100183","阿尔巴尼亚语,Albanian"
外国语言文学类,保加利亚语,100184,"0/100152/100184","保加利亚语,Bulgarian"
外国语言文学类,波兰语,100185,"0/100152/100185","波兰语,Polish"
外国语言文学类,捷克语,100186,"0/100152/100186","捷克语,Czech"
外国语言文学类,斯洛伐克语,100187,"0/100152/100187","斯洛伐克语,Slovak"
外国语言文学类,罗马尼亚语,100188,"0/100152/100188","罗马尼亚语,Romanian"
外国语言文学类,葡萄牙语,100189,"0/100152/100189","葡萄牙语,Portuguese"
外国语言文学类,瑞典语,100190,"0/100152/100190","瑞典语,Swedish"
外国语言文学类,塞尔维亚语,100191,"0/100152/100191","塞尔维亚语,Serbian"
外国语言文学类,土耳其语,100192,"0/100152/100192","土耳其语,Turkish"
外国语言文学类,希腊语,100193,"0/100152/100193","希腊语,Greek"
外国语言文学类,匈牙利语,100194,"0/100152/100194","匈牙利语,Hungarian"
外国语言文学类,意大利语,100195,"0/100152/100195","意大利语,Italian"
外国语言文学类,泰米尔语,100196,"0/100152/100196","泰米尔语,Tamil"
外国语言文学类,普什图语,100197,"0/100152/100197","普什图语,Pashto"
外国语言文学类,世界语,100198,"0/100152/100198","世界语,Esperanto"
外国语言文学类,孟加拉语,100199,"0/100152/100199","孟加拉语,Bengali"
外国语言文学类,尼泊尔语,100200,"0/100152/100200","尼泊尔语,Nepali"
外国语言文学类,克罗地亚语,100201,"0/100152/100201","克罗地亚语,Croatian"
外国语言文学类,荷兰语,100202,"0/100152/100202","荷兰语,Dutch"
外国语言文学类,芬兰语,100203,"0/100152/100203","芬兰语,Finnish"
外国语言文学类,乌克兰语,100204,"0/100152/100204","乌克兰语,Ukrainian"
外国语言文学类,挪威语,100205,"0/100152/100205","挪威语,Norwegian"
外国语言文学类,丹麦语,100206,"0/100152/100206","丹麦语,Danish"
外国语言文学类,冰岛语,100207,"0/100152/100207","冰岛语,Icelandic"
外国语言文学类,爱尔兰语,100208,"0/100152/100208","爱尔兰语,Irish"
外国语言文学类,拉脱维亚语,100209,"0/100152/100209","拉脱维亚语,Latvian"
外国语言文学类,立陶宛语,100210,"0/100152/100210","立陶宛语,Lithuanian"
外国语言文学类,斯洛文尼亚语,100211,"0/100152/100211","斯洛文尼亚语,Slovenian"
外国语言文学类,爱沙尼亚语,100212,"0/100152/100212","爱沙尼亚语,Estonian"
外国语言文学类,马耳他语,100213,"0/100152/100213","马耳他语,Maltese"
外国语言文学类,哈萨克语,100214,"0/100152/100214","哈萨克语,Kazakh"
外国语言文学类,乌兹别克语,100215,"0/100152/100215","乌兹别克语,Uzbek"
外国语言文学类,祖鲁语,100216,"0/100152/100216","祖鲁语,Zulu"
外国语言文学类,拉丁语,100217,"0/100152/100217","拉丁语,Latin"
外国语言文学类,翻译,100218,"0/100152/100218","翻译,translate"
外国语言文学类,商务英语,100219,"0/100152/100219","商务英语,Business English"
外国语言文学类,阿姆哈拉语,100220,"0/100152/100220","阿姆哈拉语,Amharic"
外国语言文学类,吉尔吉斯语,100221,"0/100152/100221","吉尔吉斯语,Kyrgyz"
外国语言文学类,索马里语,100222,"0/100152/100222","索马里语,Somali"
外国语言文学类,土库曼语,100223,"0/100152/100223","土库曼语,Turkmen"
外国语言文学类,加泰罗尼亚语,100224,"0/100152/100224","加泰罗尼亚语,Catalan"
外国语言文学类,约鲁巴语,100225,"0/100152/100225","约鲁巴语,Yoruba"
外国语言文学类,亚美尼亚语,100226,"0/100152/100226","亚美尼亚语,Armenian"
外国语言文学类,马达加斯加语,100227,"0/100152/100227","马达加斯加语,Malagasy"
外国语言文学类,格鲁吉亚语,100228,"0/100152/100228","格鲁吉亚语,Georgian"
外国语言文学类,阿塞拜疆语,100229,"0/100152/100229","阿塞拜疆语,Azerbaijani"
外国语言文学类,阿非利卡语,100230,"0/100152/100230","阿非利卡语,Afrikaans"
外国语言文学类,马其顿语,100231,"0/100152/100231","马其顿语,Macedonian"
外国语言文学类,塔吉克语,100232,"0/100152/100232","塔吉克语,Tajik"
外国语言文学类,茨瓦纳语,100233,"0/100152/100233","茨瓦纳语,Tswana"
外国语言文学类,恩徳贝莱语,100234,"0/100152/100234","恩徳贝莱语,Ndebele"
外国语言文学类,科摩罗语,100235,"0/100152/100235","科摩罗语,Comorian"
外国语言文学类,克里奥尔语,100236,"0/100152/100236","克里奥尔语,Creole"
外国语言文学类,绍纳语,100237,"0/100152/100237","绍纳语,Shona"
外国语言文学类,提格雷尼亚语,100238,"0/100152/100238","提格雷尼亚语,Tigrinya"
外国语言文学类,白俄罗斯语,100239,"0/100152/100239","白俄罗斯语,Belarusian"
外国语言文学类,毛利语,100240,"0/100152/100240","毛利语,Maori"
外国语言文学类,汤加语,100241,"0/100152/100241","汤加语,Tongan"
外国语言文学类,萨摩亚语,100242,"0/100152/100242","萨摩亚语,Samoan"
外国语言文学类,库尔德语,100243,"0/100152/100243","库尔德语,Kurdish"
外国语言文学类,比斯拉马语,100244,"0/100152/100244","比斯拉马语,Bislama"
外国语言文学类,达里语,100245,"0/100152/100245","达里语,Dari"
外国语言文学类,德顿语,100246,"0/100152/100246","德顿语,Tetum"
外国语言文学类,迪维希语,100247,"0/100152/100247","迪维希语,Dhivehi"
外国语言文学类,斐济语,100248,"0/100152/100248","斐济语,Fijian"
外国语言文学类,库克群岛毛利语,100249,"0/100152/100249","库克群岛毛利语,Cook Islands Maori"
外国语言文学类,隆迪语,100250,"0/100152/100250","隆迪语,Lundi"
外国语言文学类,卢森堡语,100251,"0/100152/100251","卢森堡语,Luxembourgish"
外国语言文学类,卢旺达语,100252,"0/100152/100252","卢旺达语,Kinyarwanda"
外国语言文学类,纽埃语,100253,"0/100152/100253","纽埃语,Niuean"
外国语言文学类,皮金语,100254,"0/100152/100254","皮金语,Pidgin"
外国语言文学类,切瓦语,100255,"0/100152/100255","切瓦语,Chewa"
外国语言文学类,塞苏陀语,100256,"0/100152/100256","塞苏陀语,Sesotho"
外国语言文学类,外国语言文学,100257,"0/100152/100257","外国语言文学,Foreign Languages ​​and Literature"
物流类,物流工程技术,100259,"0/100258/100259","物流工程技术,Logistics Engineering Technology"
物流类,现代物流管理,100260,"0/100258/100260","现代物流管理,Modern Logistics Management"
物流类,航空物流管理,100261,"0/100258/100261","航空物流管理,Aviation Logistics Management"
物流类,铁路物流管理,100262,"0/100258/100262","铁路物流管理,Railway Logistics Management"
物流类,冷链物流技术与管理,100263,"0/100258/100263","冷链物流技术与管理,Cold chain logistics technology and management"
物流类,港口物流管理,100264,"0/100258/100264","港口物流管理,Port logistics management"
物流类,工程物流管理,100265,"0/100258/100265","工程物流管理,Engineering Logistics Management"
物流类,采购与供应管理,100266,"0/100258/100266","采购与供应管理,Procurement and Supply Management"
物流类,智能物流技术,100267,"0/100258/100267","智能物流技术,Smart logistics technology"
物流类,供应链运营,100268,"0/100258/100268","供应链运营,Supply Chain Operations"
物流类,物流服务与管理,100269,"0/100258/100269","物流服务与管理,Logistics services and management"
物流类,冷链物流服务与管理,100270,"0/100258/100270","冷链物流服务与管理,Cold chain logistics services and management"
物流类,国际货运代理,100271,"0/100258/100271","国际货运代理,International Freight Forwarding"
物流类,物流设施运行与维护,100272,"0/100258/100272","物流设施运行与维护,Logistics facility operation and maintenance"
安全科学与工程类,安全工程,100274,"0/100273/100274","安全工程,Safety Engineering"
安全科学与工程类,应急技术与管理,100275,"0/100273/100275","应急技术与管理,Emergency Technology and Management"
安全科学与工程类,职业卫生工程,100276,"0/100273/100276","职业卫生工程,Occupational Health Engineering"
安全科学与工程类,安全科学与工程,100277,"0/100273/100277","安全科学与工程,Safety Science and Engineering"
林学类,林学,100279,"0/100278/100279","林学,Forestry"
林学类,园林,100280,"0/100278/100280","园林,garden"
林学类,森林保护,100281,"0/100278/100281","森林保护,Forest protection"
林学类,经济林,100282,"0/100278/100282","经济林,Economic forest"
林学类,智慧林业,100283,"0/100278/100283","智慧林业,Smart Forestry"
安全类,安全技术与管理,100285,"0/100284/100285","安全技术与管理,Safety Technology and Management"
安全类,化工安全技术,100286,"0/100284/100286","化工安全技术,Chemical Safety Technology"
安全类,安全智能监测技术,100287,"0/100284/100287","安全智能监测技术,Safety intelligent monitoring technology"
安全类,应急救援技术,100288,"0/100284/100288","应急救援技术,Emergency rescue technology"
安全类,消防救援技术,100289,"0/100284/100289","消防救援技术,Fire rescue technology"
安全类,森林草原防火技术,100290,"0/100284/100290","森林草原防火技术,Forest and grassland fire prevention technology"
安全类,职业健康安全技术,100291,"0/100284/100291","职业健康安全技术,Occupational Health and Safety Technology"
安全类,防灾减灾技术,100292,"0/100284/100292","防灾减灾技术,Disaster prevention and mitigation technology"
安全类,森林消防,100293,"0/100284/100293","森林消防,Forest fire fighting"
安全类,安全工程技术,100294,"0/100284/100294","安全工程技术,Safety Engineering Technology"
安全类,应急管理,100295,"0/100284/100295","应急管理,Emergency Management"
新能源发电工程类,光伏工程技术,100297,"0/100296/100297","光伏工程技术,Photovoltaic Engineering Technology"
新能源发电工程类,风力发电工程技术,100298,"0/100296/100298","风力发电工程技术,Wind power engineering technology"
新能源发电工程类,生物质能应用技术,100299,"0/100296/100299","生物质能应用技术,Biomass energy application technology"
新能源发电工程类,氢能技术应用,100300,"0/100296/100300","氢能技术应用,Hydrogen energy technology application"
新能源发电工程类,工业节能技术,100301,"0/100296/100301","工业节能技术,Industrial Energy Saving Technology"
新能源发电工程类,节电技术与管理,100302,"0/100296/100302","节电技术与管理,Power saving technology and management"
新能源发电工程类,新能源材料应用技术,100303,"0/100296/100303","新能源材料应用技术,New energy material application technology"
新能源发电工程类,光伏工程技术与应用,100304,"0/100296/100304","光伏工程技术与应用,Photovoltaic Engineering Technology and Application"
新能源发电工程类,风力发电设备运行与维护,100305,"0/100296/100305","风力发电设备运行与维护,Wind power equipment operation and maintenance"
新能源发电工程类,太阳能与沼气技术利用,100306,"0/100296/100306","太阳能与沼气技术利用,Solar energy and biogas technology utilization"
新能源发电工程类,新能源发电工程技术,100307,"0/100296/100307","新能源发电工程技术,New energy power generation engineering technology"
计算机类,计算机科学与技术,100309,"0/100308/100309","计算机科学与技术,Computer Science and Technology"
计算机类,软件工程,100310,"0/100308/100310","软件工程,Software Engineering"
计算机类,网络工程,100311,"0/100308/100311","网络工程,Network Engineering"
计算机类,信息安全,100312,"0/100308/100312","信息安全,Information Security"
计算机类,物联网工程,100313,"0/100308/100313","物联网工程,Internet of Things Engineering"
计算机类,数字媒体技术,100314,"0/100308/100314","数字媒体技术,Digital Media Technology"
计算机类,智能科学与技术,100315,"0/100308/100315","智能科学与技术,Intelligent Science and Technology"
计算机类,空间信息与数字技术,100316,"0/100308/100316","空间信息与数字技术,Spatial Information and Digital Technology"
计算机类,电子与计算机工程,100317,"0/100308/100317","电子与计算机工程,Electronic and Computer Engineering"
计算机类,数据科学与大数据技术,100318,"0/100308/100318","数据科学与大数据技术,Data Science and Big Data Technology"
计算机类,网络空间安全,100319,"0/100308/100319","网络空间安全,Cyberspace Security"
计算机类,新媒体技术,100320,"0/100308/100320","新媒体技术,New Media Technology"
计算机类,电影制作,100321,"0/100308/100321","电影制作,Film production"
计算机类,保密技术,100322,"0/100308/100322","保密技术,Confidentiality Technology"
计算机类,服务科学与工程,100323,"0/100308/100323","服务科学与工程,Service Science and Engineering"
计算机类,虚拟现实技术,100324,"0/100308/100324","虚拟现实技术,Virtual Reality"
计算机类,区块链工程,100325,"0/100308/100325","区块链工程,Blockchain Engineering"
计算机类,密码科学与技术,100326,"0/100308/100326","密码科学与技术,Cryptography Science and Technology"
计算机类,大数据技术,100327,"0/100308/100327","大数据技术,Big Data Technology"
计算机类,云计算技术应用,100328,"0/100308/100328","云计算技术应用,Cloud computing technology applications"
计算机类,信息安全技术应用,100329,"0/100308/100329","信息安全技术应用,Information security technology application"
计算机类,虚拟现实技术应用,100330,"0/100308/100330","虚拟现实技术应用,Virtual Reality Technology Application"
计算机类,人工智能技术应用,100331,"0/100308/100331","人工智能技术应用,Artificial Intelligence Technology Application"
计算机类,嵌入式技术应用,100332,"0/100308/100332","嵌入式技术应用,Embedded Technology Applications"
计算机类,工业互联网技术,100333,"0/100308/100333","工业互联网技术,Industrial Internet Technology"
计算机类,区块链技术应用,100334,"0/100308/100334","区块链技术应用,Blockchain Technology Application"
计算机类,移动应用开发,100335,"0/100308/100335","移动应用开发,Mobile Application Development"
计算机类,工业软件开发技术,100336,"0/100308/100336","工业软件开发技术,Industrial software development technology"
计算机类,动漫制作技术,100337,"0/100308/100337","动漫制作技术,Animation Production Technology"
计算机类,密码技术应用,100338,"0/100308/100338","密码技术应用,Application of cryptographic technology"
计算机类,计算机应用,100339,"0/100308/100339","计算机应用,Computer Applications"
计算机类,软件与信息服务,100340,"0/100308/100340","软件与信息服务,Software and information services"
计算机类,数字媒体技术应用,100341,"0/100308/100341","数字媒体技术应用,Digital media technology applications"
计算机类,大数据技术应用,100342,"0/100308/100342","大数据技术应用,Big Data Technology Application"
计算机类,移动应用技术与服务,100343,"0/100308/100343","移动应用技术与服务,Mobile application technology and services"
计算机类,网络信息安全,100344,"0/100308/100344","网络信息安全,Network Information Security"
计算机类,网络安防系统安装与维护,100345,"0/100308/100345","网络安防系统安装与维护,Network security system installation and maintenance"
计算机类,网站建设与管理,100346,"0/100308/100346","网站建设与管理,Website construction and management"
计算机类,计算机与数码设备维修,100347,"0/100308/100347","计算机与数码设备维修,Computer and digital equipment repair"
计算机类,计算机应用工程,100348,"0/100308/100348","计算机应用工程,Computer Application Engineering"
计算机类,网络工程技术,100349,"0/100308/100349","网络工程技术,Network Engineering Technology"
计算机类,软件工程技术,100350,"0/100308/100350","软件工程技术,Software Engineering Technology"
计算机类,大数据工程技术,100351,"0/100308/100351","大数据工程技术,Big Data Engineering Technology"
计算机类,云计算技术,100352,"0/100308/100352","云计算技术,Cloud computing technology"
计算机类,信息安全与管理,100353,"0/100308/100353","信息安全与管理,Information Security and Management"
计算机类,人工智能工程技术,100354,"0/100308/100354","人工智能工程技术,Artificial Intelligence Engineering Technology"
计算机类,嵌入式技术,100355,"0/100308/100355","嵌入式技术,Embedded Technology"
