标签名,公司名
"2024年中国银行业前100名单,中国银行业100强榜单,区域百强",上海农村商业银行股份有限公司
上市公司,上海凤凰企业(集团)股份有限公司
上市公司,上海凯利泰医疗科技股份有限公司
上市公司,上海凯宝药业股份有限公司
上市公司,上海创兴资源开发股份有限公司
上市公司,上海力盛赛车文化股份有限公司
上市公司,上海加冷松芝汽车空调股份有限公司
"2025中国生物药研发实力排行榜TOP50,2025中国药品研发综合实力TOP100,2025中国药品研发综合实力排行榜TOP100,上市公司,中国500强,区域百强",上海医药集团股份有限公司
"2018年（第17届）中国软件业务收入前百家企业,2019年（第18届）中国软件业务收入前百家企业,上市公司",上海华东电脑股份有限公司
上市公司,上海华峰超纤材料股份有限公司
上市公司,上海华测导航技术股份有限公司
区域百强,上海华虹(集团)有限公司
上市公司,上海华虹计通智能系统股份有限公司
"2018年（第17届）中国软件业务收入前百家企业,2019年（第18届）中国软件业务收入前百家企业",上海华讯网络系统有限公司
"上市公司,中国500强,区域百强",上海华谊集团股份有限公司
中国物业服务企业综合实力500强,上海华鑫物业管理顾问有限公司
上市公司,上海华鑫股份有限公司
上市公司,上海华铭智能终端设备股份有限公司
"2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海古北物业管理(集团)有限公司
上市公司,上海古鳌电子科技股份有限公司
"2023中国写字楼物业服务领先企业,2023中国物业服务企业综合实力500强,2023中国物业服务成长性领先企业,中国物业服务企业综合实力500强",上海合创嘉锦物业管理有限公司
独角兽,上海合煦信息科技有限公司
上市公司,上海同济科技实业股份有限公司
上市公司,上海同达创业投资股份有限公司
"2025中国生物药研发实力排行榜TOP50,2025中国药品研发综合实力TOP100,2025中国药品研发综合实力排行榜TOP100",上海君实生物医药科技股份有限公司
"大厂经验,独角兽",上海哈啰普惠科技有限公司
"2025 《财富》中国 500 强排行榜,2025年《财富》中国500强排行榜,中国500强,大厂经验",上海哔哩哔哩科技有限公司
上市公司,上海嘉麟杰纺织品股份有限公司
"2025年《财富》中国500强净利润率TOP10,上市公司,中国500强,区域百强",上海国际港务(集团)股份有限公司
区域百强,上海均和集团有限公司
区域百强,上海均瑶(集团)有限公司
区域百强,上海城建(集团)公司
2025 中国房地产百强企业,上海城建置业发展有限公司
区域百强,上海城投(集团)有限公司
上市公司,上海城投控股股份有限公司
独角兽,上海壹账通金融科技有限公司
中国物业服务企业综合实力500强,上海复医天健医疗服务产业股份有限公司
独角兽,上海复宏汉霖生物技术股份有限公司
上市公司,上海复旦复华科技股份有限公司
"2024年度中国医药工业主营业务收入前100位企业,2025 福布斯中国人工智能科技企业 TOP 50 评选,2025中国生物药研发实力排行榜TOP50,上市公司",上海复星医药(集团)股份有限公司
"2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海复欣物业管理发展有限公司
区域百强,上海外高桥造船有限公司
上市公司,上海外高桥集团股份有限公司
上市公司,上海大众公用事业(集团)股份有限公司
区域百强,上海大名城企业股份有限公司
上市公司,上海大屯能源股份有限公司
中国500强,上海大生农业金融科技股份有限公司
上市公司,上海天玑科技股份有限公司
上市公司,上海姚记扑克股份有限公司
上市公司,上海威尔泰工业自动化股份有限公司
上市公司,上海安硕信息技术股份有限公司
独角兽,上海安能聚创供应链管理有限公司
上市公司,上海安诺其集团股份有限公司
上市公司,上海宏达矿业股份有限公司
"2018年（第17届）中国软件业务收入前百家企业,2019年（第18届）中国软件业务收入前百家企业,2025年CNPP软件开发公司行业十大品牌榜中榜名录,2025年十大软件开发公司排行榜,上市公司",上海宝信软件股份有限公司
区域百强,上海宝冶集团有限公司
上市公司,上海实业发展股份有限公司
中国500强,上海实业控股有限公司
"上市公司,区域百强",上海家化联合股份有限公司
上市公司,上海宽频科技股份有限公司
上市公司,上海富控互动娱乐股份有限公司
上市公司,上海富瀚微电子股份有限公司
"2025 《财富》中国 500 强排行榜,2025年《财富》中国500强净资产收益率（ROE）TOP10,2025年《财富》中国500强排行榜,大厂经验,独角兽",上海寻梦信息技术有限公司
区域百强,上海展志实业集团有限责任公司
上市公司,上海岩石企业发展股份有限公司
2025中国药品研发综合实力TOP100,上海岸迈生物科技有限公司
上市公司,上海巴安水务股份有限公司
上市公司,上海市北高新股份有限公司
上市公司,上海市天宸股份有限公司
上市公司,上海广泽食品科技股份有限公司
上市公司,上海康耐特旗计智能科技集团股份有限公司
上市公司,上海康达化工新材料股份有限公司
上市公司,上海延华智能科技(集团)股份有限公司
中国物业服务企业综合实力500强,上海延吉物业管理有限公司
2025 中国房地产百强企业,上海建工房产有限公司
"上市公司,中国500强,区域百强",上海建工集团股份有限公司
上市公司,上海开创国际海洋资源股份有限公司
上市公司,上海开开实业股份有限公司
上市公司,上海开能环保设备股份有限公司
2025全国高新区盈利能力百强榜单,上海张江高新技术产业开发区
上市公司,上海张江高科技园区开发股份有限公司
"上市公司,区域百强",上海强生控股股份有限公司
上市公司,上海徐家汇商城股份有限公司
2025 中国房地产百强企业,上海徐汇城市建设投资（集团）有限公司
中国物业服务企业综合实力500强,上海德律风置业有限公司
上市公司,上海悦心健康集团股份有限公司
独角兽,上海找钢网信息科技股份有限公司
独角兽,上海拉扎斯信息科技有限公司
"上市公司,区域百强",上海振华重工(集团)股份有限公司
"2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海振新物业管理有限公司
上市公司,上海摩恩电气股份有限公司
区域百强,上海斐讯数据通信技术有限公司
上市公司,上海新世界股份有限公司
上市公司,上海新华传媒股份有限公司
上市公司,上海新南洋股份有限公司
上市公司,上海新文化传媒集团股份有限公司
上市公司,上海新时达电气股份有限公司
上市公司,上海新朋实业股份有限公司
上市公司,上海新梅置业股份有限公司
上市公司,上海新阳半导体材料股份有限公司
上市公司,上海新黄浦置业股份有限公司
"2023中国公众物业服务领先企业,2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海明华智慧城市运营管理有限公司
独角兽,上海易果电子商务有限公司
区域百强,上海春秋国际旅行社(集团)有限公司
瞪羚企业,上海显耀
区域百强,上海晨光文具股份有限公司
上市公司,上海普丽盛包装股份有限公司
上市公司,上海普利特复合材料股份有限公司
上市公司,上海普天邮通科技股份有限公司
"2022中国房地产企业综合实力TOP100,世界500强,中国500强,地产百强",上海景瑞地产(集团)有限公司
"2023中国住宅物业服务领先企业,2023中国品质物业服务领先企业,2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海景瑞物业管理有限公司
"2023中国VR50强企业,2024VR50强企业",上海曼恒数字技术股份有限公司
"2025中国药品研发综合实力TOP100,2025中国药品研发综合实力排行榜TOP100",上海有早匠药（佳团）股公右阳八司
"上市公司,区域百强",上海机场(集团)有限公司
上市公司,上海机电股份有限公司
上市公司,上海柘中集团股份有限公司
上市公司,上海柴油机股份有限公司
"上市公司,中国500强",上海梅林正广和股份有限公司
上市公司,上海氯碱化工股份有限公司
上市公司,上海永利带业股份有限公司
"2023中国物业城市服务领先企业,2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海永升物业管理有限公司
"2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海永绿置业有限公司
区域百强,上海永达控股(集团)有限公司
2025中国药品研发综合实力TOP100,上海汇伦医药股份有限公司
上市公司,上海汇纳信息科技股份有限公司
上市公司,上海汇通能源股份有限公司
"2018年（第17届）中国软件业务收入前百家企业,2019年（第18届）中国软件业务收入前百家企业,上市公司",上海汉得信息技术股份有限公司
区域百强,上海汉滨实业发展有限公司
上市公司,上海汉钟精机股份有限公司
"2025年《财富》中国500强榜单,上市公司,世界500强,中国500强,区域百强",上海汽车集团股份有限公司
上市公司,上海沃施园艺股份有限公司
上市公司,上海泰胜风能装备股份有限公司
独角兽,上海洋码头网络技术有限公司
2025中国生物药研发实力排行榜TOP50,上海津曼特生物科技有限公司
"2024年中国银行业前100名单,上市公司,世界500强,中国500强,中国房地产百强企业榜单,中国银行业100强榜单,区域百强",上海浦东发展银行股份有限公司
2025 中国房地产百强企业,上海浦东开发（集团）有限公司
上市公司,上海浦东路桥建设股份有限公司
"2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海浦江物业有限公司
上市公司,上海海得控制系统股份有限公司
上市公司,上海海欣集团股份有限公司
上市公司,上海海立(集团)股份有限公司
上市公司,上海海顺新型药用包装材料股份有限公司
上市公司,上海润欣科技股份有限公司
上市公司,上海游久游戏股份有限公司
中国物业服务企业综合实力500强,上海漕河泾开发区物业管理有限公司
独角兽,上海点荣金融信息服务有限责任公司
区域百强,上海烟草集团有限责任公司
上市公司,上海爱建集团股份有限公司
"上市公司,中国500强",上海物资贸易股份有限公司
"2025中国药品研发综合实力TOP100,2025中国药品研发综合实力排行榜TOP100,上市公司",上海现代制药股份有限公司
"上市公司,区域百强",上海申华控股股份有限公司
中国物业服务企业综合实力500强,上海申能物业管理有限公司
上市公司,上海申达股份有限公司
上市公司,上海申通地铁股份有限公司
"上市公司,中国500强",上海电力股份有限公司
"上市公司,中国500强,区域百强",上海电气集团股份有限公司
上市公司,上海界龙实业集团股份有限公司
区域百强,上海百润企业发展有限公司
上市公司,上海百润投资控股集团股份有限公司
"上市公司,中国500强,区域百强",上海百联集团股份有限公司
独角兽,上海益商仓储服务有限公司
上市公司,上海益民商业集团股份有限公司
大厂经验,上海盒马网络科技有限公司
独角兽,上海知豆电动车技术有限公司
上市公司,上海神奇制药投资管理股份有限公司
上市公司,上海神开石油化工装备股份有限公司
区域百强,上海福然德部件加工有限公司
上市公司,上海科华生物工程股份有限公司
上市公司,上海科泰电源股份有限公司
"2023中国物业服务企业综合实力500强,中国物业服务企业综合实力500强",上海科瑞物业管理发展有限公司
上市公司,上海移为通信技术股份有限公司
上市公司,上海第一医药股份有限公司
"上市公司,区域百强",上海紫江企业集团股份有限公司
2025全国高新区盈利能力百强榜单,上海紫竹高新技术产业开发区
地产百强,上海红星美凯龙地产有限公司
上市公司,上海纳尔数码喷印材料股份有限公司
区域百强,上海纺织(集团)有限公司
瞪羚企业,上海细胞
上市公司,上海维宏电子科技股份有限公司
上市公司,上海绿庭投资控股集团股份有限公司
"上市公司,区域百强",上海置信电气股份有限公司
上市公司,上海美特斯邦威服饰股份有限公司
上市公司,上海耀皮玻璃集团股份有限公司
独角兽,上海联影医疗科技有限公司
区域百强,上海胜华电缆(集团)有限公司
上市公司,上海航天汽车机电股份有限公司
上市公司,上海良信电器股份有限公司
区域百强,上海苏宁云商销售有限公司
上市公司,上海莱士血液制品股份有限公司
独角兽,上海蔚来汽车有限公司
独角兽,上海触宝信息技术有限公司
大厂经验,上海识装信息科技有限公司
独角兽,上海谦问万答吧云计算科技有限公司
上市公司,上海豫园旅游商城股份有限公司
上市公司,上海贝岭股份有限公司
独角兽,上海趣盛网络科技有限公司
独角兽,上海连尚网络科技有限公司
上市公司,上海透景生命科技股份有限公司
上市公司,上海金力泰化工股份有限公司
上市公司,上海金枫酒业股份有限公司
上市公司,上海金桥出口加工区开发股份有限公司
区域百强,上海鑫冶铜业有限公司
"上市公司,中国500强,区域百强",上海钢联电子商务股份有限公司
"中国500强,区域百强",上海银行股份有限公司
上市公司,上海锦江国际实业投资股份有限公司
中国500强,上海锦江国际酒店(集团)股份有限公司
上市公司,上海锦江国际酒店发展股份有限公司
区域百强,上海闽路润贸易有限公司
区域百强,上海际大投资控股集团有限公司
独角兽,上海陆家嘴国际金融资产交易市场股份有限公司
中国物业服务企业综合实力500强,上海陆家嘴物业管理有限公司
"2022中国房地产企业综合实力TOP100,上市公司,中国500强",上海陆家嘴金融贸易区开发股份有限公司
"2024 城际高铁和轨道交通建设企业 TOP50,上市公司,中国500强",上海隧道工程股份有限公司
上市公司,上海雪榕生物科技股份有限公司
上市公司,上海顺灏新材料科技股份有限公司
上市公司,上海飞乐音响股份有限公司
上市公司,上海飞凯光电材料股份有限公司
独角兽,上海驴妈妈兴旅国际旅行社有限公司
独角兽,上海魔域投资管理有限公司
上市公司,上海龙头(集团)股份有限公司
"中国500强,区域百强",上海龙宇燃油股份有限公司
区域百强,上海龙旗科技股份有限公司
2025年第二季度末公募机构非货规模第21位-30位,上银基金管理有限公司
瞪羚企业,不鸣科技
区域百强,世纪金源投资集团有限公司
"中国500强,区域百强",世茂房地产控股有限公司
"2023中国医院物业服务领先企业,中国物业服务企业综合实力500强",世茂服务控股有限公司
"2022中国房地产企业综合实力TOP100,中国房地产品牌价值排行榜前十名,地产百强",世茂集团控股有限公司
"2024年中国银行业前100名单,中国银行业100强榜单",东亚银行（中国）
2024全球保险品牌价值100强排行榜,东京海上
世界500强,东京海上日动火灾保险公司
世界500强,东京电力公司
上市公司,东信和平科技股份有限公司
"2025 福布斯中国人工智能科技企业 TOP 50,2025 福布斯中国人工智能科技企业 TOP 50 评选,2025福布斯中国人工智能科技企业TOP50",东信时代
区域百强,东凌控股有限公司
上市公司,东北制药集团股份有限公司
上市公司,东北电气发展股份有限公司
上市公司,东北证券股份有限公司
上市公司,东北高速公路股份有限公司
上市公司,东华工程科技股份有限公司
"上市公司,中国500强",东华能源股份有限公司
"2018年（第17届）中国软件业务收入前百家企业,2019年（第18届）中国软件业务收入前百家企业,上市公司,中国金融科技竞争力2024年百强榜单",东华软件股份公司
2022中国房地产企业综合实力TOP100,东原集团
2023中国学校物业服务领先企业,东吴服务产业集团（江苏）有限公司
2024年中国银行业前100名单,东完银行
"2023中国医院物业服务领先企业,中国物业服务企业综合实力500强",东方万弘物业管理有限公司
区域百强,东方国际(集团)有限公司
"上市公司,中国500强",东方国际创业股份有限公司
2025年第二季度末公募机构非货规模第41位-50位,东方基金管理股份有限公司
上市公司,东方日升新能源股份有限公司
上市公司,东方时代网络传媒股份有限公司
上市公司,东方明珠新媒体股份有限公司
2022全球资管500强,东方汇理
2025全球海运货代50强榜单中的中国企业,东方海外物流（OOCL Logistics）
"2018年（第17届）中国软件业务收入前百家企业,2019年（第18届）中国软件业务收入前百家企业,上市公司",东方电子股份有限公司
"上市公司,中国500强",东方电气股份有限公司
瞪羚企业,东方空间
上市公司,东方网力科技股份有限公司
2025年财富中国500强榜单,东方证券股份有限公司
"2025 福布斯中国人工智能科技企业 TOP 50,2025 福布斯中国人工智能科技企业 TOP 50 评选,2025福布斯中国人工智能科技企业TOP50,上市公司",东方财富信息股份有限公司
上市公司,东方通信股份有限公司
上市公司,东方金钰股份有限公司
上市公司,东方集团股份有限公司
世界500强,东日本旅客铁道株式会社
上市公司,东旭光电科技股份有限公司
上市公司,东旭蓝天新能源股份有限公司
上市公司,东易日盛家居装饰集团股份有限公司
上市公司,东江环保股份有限公司
上市公司,东港股份有限公司
上市公司,东睦新材料集团股份有限公司
2022中国房地产企业综合实力TOP100,东胜集团
"2024年中国银行业前100名单,中国银行业100强榜单,区域百强",东莞农村商业银行股份有限公司
上市公司,东莞勤上光电股份有限公司
区域百强,东莞华贝电子科技有限公司
上市公司,东莞发展控股股份有限公司
独角兽,东莞团贷网互联网科技服务有限公司
上市公司,东莞宏远工业区股份有限公司
上市公司,东莞宜安科技股份有限公司
专精特新小巨人,东莞市裕同包装工业股份有限公司 - 包装材料
区域百强,东莞市金铭电子有限公司
上市公司,东莞捷荣技术股份有限公司
2025全国高新区盈利能力百强榜单,东莞松山湖高新技术产业开发区
上市公司,东莞金太阳研磨股份有限公司
上市公司,东莞铭普光磁股份有限公司
中国银行业100强榜单,东莞银行
"2025年CNPP软件开发公司行业十大品牌榜中榜名录,2025年十大软件开发公司排行榜",东软 Neusoft
"2018年（第17届）中国软件业务收入前百家企业,2025年中国区块链行业重点企业核心竞争力排名,上市公司",东软集团股份有限公司
2024全球保险品牌价值100强排行榜,东部火灾海上保险
"2025中国药品研发综合实力TOP100,2025中国药品研发综合实力排行榜TOP100",东阳光药业
2025年CNPP中华老字号行业十大品牌榜中榜名录,东阿阿胶DEEJ
上市公司,东阿阿胶股份有限公司
"上市公司,世界500强,中国500强",东风汽车集团股份有限公司
上市公司,东风电子科技股份有限公司
上市公司,丝路视觉科技股份有限公司
区域百强,中交一公局厦门工程有限公司
"2025 中国房地产百强企业,上市公司",中交地产股份有限公司
"2023年中国房地产企业稳健经营榜,地产百强",中交房地产集团有限公司
上市公司,中体产业集团股份有限公司
中国物业服务企业综合实力500强,中保维安绿清服务（深圳）有限公司
2025年第二季度末公募机构非货规模第41位-50位,中信保诚基金管理有限公司
2024年信托公司利润总额榜单,中信信托
上市公司,中信国安信息产业股份有限公司
"2025年财富中国500强榜单,中国500强",中信建投证券股份有限公司
"2025 全球汽车零部件配套供应商百强榜,2025全球汽车零部件配套供应商百强榜",中信戴卡
2023年中国房地产企业稳健经营榜,中信泰富
上市公司,中信海洋直升机股份有限公司
"2022全球资管500强,上市公司,区域百强",中信证券股份有限公司
2023中国写字楼物业服务领先企业,中信资产运营有限公司
"2024年中国银行业前100名单,上市公司,中国银行业100强榜单",中信银行股份有限公司
区域百强,中信银行股份有限公司信用卡中心
"上市公司,中国500强",中储发展股份有限公司
瞪羚企业,中储国能
2022中国房地产企业综合实力TOP100,中六房地产
2025全国高新区盈利能力百强榜单,中关村科技园区
"2025年CNPP软件开发公司行业十大品牌榜中榜名录,2025年十大软件开发公司排行榜",中兴 ZTE
上市公司,中兴-沈阳商业大厦(集团)股份有限公司
2018年（第17届）中国软件业务收入前百家企业,中兴软创科技股份有限公司
"2018年（第17届）中国软件业务收入前百家企业,2023中国大数据企业50强名单,2024中国软件企业150强名单,上市公司,中国500强,区域百强,国家企业技术中心,标准起草单位,驰名保护,高新技术企业",中兴通讯股份有限公司
