标签名,公司名,公司别名
"福布斯中国人工智能科技企业50强,福布斯中国人工智能科技企业50强,福布斯中国人工智能科技企业50强",DeepSeek,
世界500强,DollarGeneral公司,"DollarGeneral公司,DOLLAR GENERAL,DollarGeneral"
世界500强,ENTERPRISEPRODUCTSPARTNERS公司,"ENTERPRISEPRODUCTSPARTNERS公司,ENTERPRISE PRODUCTS PARTNERS,EnterpriseProducts"
世界500强,EXOR集团,"EXOR集团,EXOR GROUP"
世界500强,EmiratesGroup公司,"EmiratesGroup公司,EMIRATES GROUP,Emirates"
世界500强,Enbridge公司,"Enbridge公司,ENBRIDGE"
世界500强,EnergyTransferEquity公司,"EnergyTransferEquity公司,ENERGY TRANSFER EQUITY,ETE"
世界500强,Engie集团,"Engie集团,ENGIE"
世界500强,Exelon公司,"Exelon公司,EXELON"
世界500强,Facebook公司,"Facebook公司,FACEBOOK"
世界500强,Finatis公司,"Finatis公司,FINATIS"
全球保险品牌价值100强,GEICO,
世界500强,GS加德士,"GS加德士,GS CALTEX"
世界500强,GileadSciences公司,"GileadSciences公司,GILEAD SCIENCES,Gilead"
全球保险品牌价值100强,Gjensidige,
世界500强,H&M公司,"H&M公司,H & M HENNES & MAURITZ,H&M"
世界500强,HCA公司,"HCA公司,HCA HOLDINGS,HCA"
全球保险品牌价值100强,Helvetia,
全球保险品牌价值100强,Hiscox,
独角兽,IMS新媒体商业集团,"IMS新媒体商业集团,IMS新媒体"
世界500强,Iberdrola公司,"Iberdrola公司,IBERDROLA"
全球保险品牌价值100强,If,
世界500强,Inditex公司,"Inditex公司,INDITEX"
全球保险品牌价值100强,Intact,
世界500强,JXTG控股有限公司,"JXTG控股有限公司,JXTG HOLDINGS,JXTG"
全球保险品牌价值100强,KLP,
世界500强,KOC集团,"KOC集团,KOÇ HOLDING"
世界500强,LGDISPLAY公司,"LGDISPLAY公司,LG DISPLAY,LGDisplay"
世界500强,LG电子,"LG电子,LG ELECTRONICS"
全球海运货代前十位,LXPantos,
世界500强,LafargeHolcim公司,"LafargeHolcim公司,LAFARGEHOLCIM"
瞪羚企业,M Stand,
全球保险品牌价值100强,MS&AD,
世界500强,MS&AD保险集团控股有限公司,"MS&AD保险集团控股有限公司,MS&AD INSURANCE GROUP HOLDINGS,MS&AD保险"
全球保险品牌价值100强,Markel,
世界500强,Medipal控股公司,"Medipal控股公司,MEDIPAL HOLDINGS,Medipal"
"世界500强,大厂经验",Meta Platform Inc,"Meta Platform Inc,Facebook,meta,脸书"
世界500强,Migros集团,"Migros集团,MIGROS GROUP,Migros"
"福布斯中国人工智能科技企业50强,福布斯中国人工智能科技企业50强",MiniMax,
IRN100前十名租赁公司,Modulaire,
瞪羚企业,Moka希瑞亚斯,
全球保险品牌价值100强,NN Group,
全球保险品牌价值100强,NRMA Insurance,
"世界500强,大厂经验",Netflix,"奈分公司,Netflix,奈飞,网飞"
"中国500强,大厂经验",OPPO广东移动通信有限公司,"OPPO广东移动通信有限公司,oppo"
全球保险品牌价值100强,OdysseyRe,
世界500强,Onex公司,"Onex公司,ONEX"
全球独角兽,OpenAI,
世界500强,Orange公司,"Orange公司,ORANGE"
世界500强,PHOENIXPHARMAHANDEL公司,"PHOENIXPHARMAHANDEL公司,PHOENIX PHARMAHANDEL,PHOENIXPharma"
全球保险品牌价值100强,PZU,
世界500强,Phillips66公司,"Phillips66公司,PHILLIPS 66,Phillips66"
大厂经验,Pinterest,"Pinterest,拼趣"
全球保险品牌价值100强,Pru,
世界500强,RajeshExports公司,"RajeshExports公司,RAJESH EXPORTS"
福布斯中国人工智能科技企业50强,S-instant 瞬息宇宙,
世界500强,SAP公司,"SAP公司,SAP"
全球保险品牌价值100强,SBI Life Insurance Company Limited,
世界500强,SK集团,"SK集团,SK HOLDINGS"
世界500强,SNCFMobilités公司,"SNCFMobilités公司,SNCF MOBILITÉS,SNCF"
"世界500强,大厂经验",Salesforce,Salesforce
世界500强,Seven&I控股公司,"Seven&I控股公司,SEVEN & I HOLDINGS,Seven&I"
"世界500强,大厂经验",Shopify,Shopify
全球独角兽,SpaceX,
"大厂经验,独角兽",Stripe,Stripe
全球保险品牌价值100强,Suncorp,
"上市公司,中国500强,区域百强",TCL集团股份有限公司,"TCL集团股份有限公司,TCL集团,TCL CORPORATION,TCL智能家庭"
全球保险品牌价值100强,TD Insurance,
世界500强,TJX公司,"TJX公司,TJX"
瞪羚企业,TT语音,
世界500强,Talanx公司,"Talanx公司,TALANX"
世界500强,TechData公司,"TechData公司,(TECH DATA),TechData"
世界500强,Tesoro公司,"Tesoro公司,TESORO"
世界500强,TravelersCos.公司,"TravelersCos.公司,TRAVELERS COS.,Travelers"
全球保险品牌价值100强,Tryg,
"世界500强,大厂经验",Twitter,"推特,Twitter"
全球保险品牌价值100强,UNIQA,
世界500强,USFoodsHolding公司,"USFoodsHolding公司,US FOODS HOLDING,USFoods"
"世界500强,大厂经验",Uber,"Uber,优步"
世界500强,Ultrapar控股公司,"Ultrapar控股公司,ULTRAPAR HOLDINGS,Ultrapar"
世界500强,Uniper公司,"Uniper公司,UNIPER"
全球保险品牌价值100强,UnipolSai,
世界500强,UnitedHealth 联合健康,
全球保险品牌价值100强,Unum,
全球保险品牌价值100强,Versicherungskammer,
全球保险品牌价值100强,W.R. Berkley Corporation,
世界500强,沃尔玛,"沃尔玛,WAL-MART STORES,昆明沃尔玛管理服务有限公司"
IRN100前十名租赁公司,WillScotMobileMiniHoldingsCorp,
"世界500强,大厂经验",Zoom,"Zoom,软视视频软件(杭州)有限公司"
"福布斯中国人工智能科技企业50强,福布斯中国人工智能科技企业50强",aiXcoder,
"世界500强,大厂经验",eBay,"eBay,电子湾,亿贝,易贝,亿贝网络支持(上海)有限公司"
全球保险品牌价值100强,iA Financial Group,
全球独角兽,xAI,
瞪羚企业,一亩田,
"中国药品研发综合实力100强,上市公司",一品红药业股份有限公司,"一品红药业股份有限公司,Yipinhong Pharmaceutical Co., Ltd.,一品红,广东一品红药业有限公司,一品红药业"
中国物业服务企业500强优选服务商智慧物业领域品牌,一应科技,
瞪羚企业,一条,
"上市公司,中国500强",一汽轿车股份有限公司,"一汽轿车股份有限公司,一汽轿车,FAW CAR CO.,LTD"
中国产业园区物业服务领先企业,一爱城市建设服务有限公司,
中国物业服务企业500强优选服务商智慧物业领域品牌,一碑科技,
区域百强,万丰奥特控股集团有限公司,"万丰奥特控股集团有限公司,浙江万丰奥特集团有限公司,浙江万通中宝铝轮有限公司,万丰奥特"
上市公司,万兴科技股份有限公司,"万兴科技股份有限公司,Wondershare Technology Co., Ltd,万兴科技"
区域百强,万利达集团有限公司,"万利达集团有限公司,万利达"
"上市公司,中国500强",万华化学集团股份有限公司,"万华化学集团股份有限公司,烟台万华,烟台万华聚氨酯股份有限公司,万华化学"
中国区块链行业重点企业核心竞争力,万向区块链,
上市公司,万向德农股份有限公司,"万向德农股份有限公司,万向德农"
上市公司,万向钱潮股份有限公司,"万向钱潮股份有限公司,WANXIANG QIANCHAO CO.,LTD,万向钱潮"
世界500强,万喜集团,"万喜集团,VINCI"
2025年第二季度末公募机构非货规模50强,万家基金管理有限公司,
"中国物业增值服务运营领先企业,中国物业服务企业综合实力500强",万怡物业服务有限公司,
上市公司,万方城镇投资发展股份有限公司,"万方城镇投资发展股份有限公司,Vanfund Urban Investment&Development Co.,Ltd.,万方发展,万方地产股份有限公司"
瞪羚企业,万有引力,
上市公司,万泽实业股份有限公司,"万泽实业股份有限公司,WEDGE INDUSTRIAL CO.,LTD.,万泽股份,深圳市云顶投资有限公司,万泽实业"
中国500强,万洲国际有限公司,"万洲国际有限公司,万洲国际"
中国物业服务市场化运营领先企业,万物云,
中国物业服务市场化运营领先企业,万物梁行,
"中国房地产企业综合实力100强,中国房地产百强企业,中国房地产企业稳健经营100强,中国房地产百强企业,上市公司,世界500强,中国500强,中国房地产品牌价值前十名,区域百强,地产百强",万科企业股份有限公司,"万科企业股份有限公司,万科地产,CHINA VANKE CO., LTD.,万科,万科集团,万科物业,万科A,深圳万科企业股份有限公司,深圳市现代科教仪器贸易中心,深圳现代企业有限公司"
"中国物业增值服务运营领先企业,中国物业服务市场化运营领先企业,中国物业服务企业综合实力500强",万联城市服务科技集团股份有限公司,
"中国软件业务收入前百家企业,独角兽",万达信息科技有限公司,"万达信息科技有限公司,万达电商,万达信息,万达信息科技"
上市公司,万达信息股份有限公司,"万达信息股份有限公司,万达信息,Wonders Information Co.,Ltd."
中国物业服务市场化运营领先企业,万达商管,
"中国房地产企业综合实力100强,中国房地产企业稳健经营100强,地产百强",万达控股集团有限公司,"万达控股集团有限公司,万达集团,万达控股,万达集团股份有限公司,东营万达控股有限责任公司"
上市公司,万达电影股份有限公司,"万达电影股份有限公司,万达电影,WANDA FILM HOLDING CO., LTD"
世界500强,万通互惠理财,"万通互惠理财,MASSACHUSETTS MUTUAL LIFE INSURANCE,万通人寿保险公司(万通互惠理财),万通互惠"
上市公司,万通智控科技股份有限公司,"万通智控科技股份有限公司,万通智控,Hamaton Automotive Technology Co.,Ltd.,杭州万通气门嘴有限公司"
上市公司,万邦德新材股份有限公司,"万邦德新材股份有限公司,WANBANGDE NEW BUILDING MATERIALS CO.,LTD.,万邦德"
上市公司,万马科技股份有限公司,"万马科技股份有限公司,WANMA TECHNOLOGY CO., LTD.,万马科技,浙江万马集团电子有限公司"
瞪羚企业,三一筑工,
"上市公司,中国500强",三一重工股份有限公司,"三一重工股份有限公司,三一重工,SANY HEAVY INDUSTRY CO., LTD.,普茨迈斯特,湖南三一重工股份有限公司,湖南三一重工业集团有限公司"
"中国银行业前100强,中国银行业100强",三井住友银行（中国）,
世界500强,三井物产株式会社,"三井物产株式会社,MITSUI,三井物产"
上市公司,三全食品股份有限公司,"三全食品股份有限公司,三全食品,SANQUAN FOOD CO.,LTD"
区域百强,三六一度(中国)有限公司,"三六一度(中国)有限公司,361°kids,三六一度国际有限公司,361°,三六一度"
"中国500强,大厂经验",三六零安全科技股份有限公司,"360健康,上海优易信息科技有限公司,三六零安全科技股份有限公司,360,江南嘉捷电梯股份有限公司,苏州江南嘉捷电梯股份有限公司,三六零"
独角兽,三六零数字安全科技集团有限公司,"360企业安全集团,北京奇虎科技有限公司,360企业安全,三六零数字安全科技集团有限公司"
上市公司,三力士股份有限公司,"三力士股份有限公司,三力士,Sanlux Co.,Ltd.,三力士农机制造有限公司,浙江三力士橡胶股份有限公司"
上市公司,三变科技股份有限公司,"三变科技股份有限公司,SAN BIAN SCI-TECH Co.,LTD.,三变科技,浙江三变科技股份有限公司"
上市公司,三安光电股份有限公司,"三安光电股份有限公司,三安光电,Sanan Optoelectronics Co.,Ltd,湖北天颐科技股份有限公司"
区域百强,三宝冶金(福建)集团股份有限公司,"三宝冶金(福建)集团股份有限公司,三宝冶金"
上市公司,三川智慧科技股份有限公司,"三川智慧科技股份有限公司,三川智慧,Sanchuan Wisdom Technology Co.,Ltd,江西三川水表股份有限公司"
世界500强,三星C&T公司,"三星C&T公司,SAMSUNG C&T,三星C&T"
世界500强,三星人寿保险,"三星人寿保险,SAMSUNG LIFE INSURANCE,三星人寿"
全球保险品牌价值100强,三星火灾海上保险,
全球保险品牌价值100强,三星生命保险,
世界500强,三星电子,"三星电子,SAMSUNG ELECTRONICS,三星(中国)投资,三星"
驰名商标,三棵树涂料股份有限公司,
上市公司,三湘印象股份有限公司,"三湘印象股份有限公司,SANXIANG IMPRESSION CO.,LTD,三湘印象,三湘股份有限公司,三湘股份,深圳和光现代商务股份有限公司"
地产百强,三盛集团有限公司,"三盛集团有限公司,三盛集团,福建泽盛投资咨询有限责任公司"
瞪羚企业,三维家,
上市公司,三维通信股份有限公司,"三维通信股份有限公司,三维通信,SUNWAVE COMMUNICATIONS CO.,LTD.,浙江三维通信股份有限公司,浙江三维通信有限公司"
独角兽,三胞国际医疗集团,"三胞国际医疗集团,三胞集团,江苏三胞集团有限公司,江苏三胞科技实业有限公司,三胞医疗"
区域百强,三花控股集团有限公司,"三花控股集团有限公司,三花集团,浙江三花集团,浙江三花集团有限公司"
世界500强,三菱化学控股,"三菱化学控股,MITSUBISHI CHEMICAL HOLDINGS,三菱化学"
世界500强,三菱商事株式会社,"三菱商事株式会社,MITSUBISHI,三菱商事"
世界500强,三菱日联金融集团,"三菱日联金融集团,MITSUBISHI UFJ FINANCIAL GROUP,三菱日联金融"
"中国银行业前100强,中国银行业100强",三菱日联银行（中国）,
世界500强,三菱电机股份有限公司,"三菱电机股份有限公司,MITSUBISHI ELECTRIC),上海三菱电机上菱空调机电器有限公司,三菱电机"
上市公司,三诺生物传感股份有限公司,"三诺生物传感股份有限公司,长沙三诺生物传感技术股份有限公司,Sinocare Inc.,三诺生物"
瞪羚企业,三顿半,
区域百强,三鼎控股集团有限公司,"三鼎控股集团有限公司,华鼎锦纶,浙江三鼎控股集团有限公司,三鼎控股集团,浙江三鼎控股集团,三鼎控股"
"中国房地产企业综合实力100强,地产百强",上坤地产集团有限公司,"上坤地产集团有限公司,上坤集团,上坤地产"
中国房地产企业综合实力100强,上实城开,
"中国公众物业服务领先企业,中国品质物业服务领先企业,中国物业服务市场化运营领先企业,中国物业服务市场化运营领先企业,中国行政办公物业服务领先企业,中国物业服务企业综合实力500强",上实服务,
上市公司,上工申贝(集团)股份有限公司,"上工申贝(集团)股份有限公司,Shang Gong Group Co., Ltd.,上工申贝,上工股份有限公司"
"中国药品研发综合实力100强,中国药品研发综合实力100强",上母友生区约来创儿放初月限公可,
独角兽,上海七牛信息技术有限公司,"上海七牛信息技术有限公司,七牛云,七牛云存储"
上市公司,上海万业企业股份有限公司,"上海万业企业股份有限公司,万业企业,中远发展股份有限公司"
上市公司,上海三毛企业(集团)股份有限公司,"上海三毛企业(集团)股份有限公司,Shanghai Sanmao Enterprise (Group) Co., Ltd.,上海三毛,上海三毛纺织股份有限公司,三毛企业"
上市公司,上海三爱富新材料股份有限公司,"上海三爱富新材料股份有限公司,三爱富"
区域百强,上海三盛宏业投资(集团)有限责任公司,"上海三盛宏业投资(集团)有限责任公司,上海三盛宏业投资(集团),上海三盛宏业投资有限责任公司,三盛宏业"
"中国医院物业服务领先企业,中国物业服务企业综合实力500强",上海上房物业服务股份有限公司,
"上市公司,中国500强",上海世茂股份有限公司,"上海世茂股份有限公司,Shanghai Shimao Co., Ltd,世茂股份,SHIMAO"
中国产业园区物业服务领先企业,上海东久磐易物业管理有限公司,
上市公司,上海东富龙科技股份有限公司,"上海东富龙科技股份有限公司,东富龙,Shanghai Tofflon Science and Technology Co.,Ltd.,东富龙科技股份有限公司,上海东富龙科技有限公司"
"上市公司,中国500强,区域百强",上海东方明珠新媒体股份有限公司,"上海东方明珠新媒体股份有限公司,东方明珠"
区域百强,上海东方电视购物有限公司,上海东方电视购物有限公司
2025年第二季度末公募机构非货规模50强,上海东方证券资产管理有限公司,
区域百强,上海东浩兰生国际服务贸易(集团)有限公司,"上海东浩兰生国际服务贸易(集团)有限公司,上海兰生物流有限公司,上海东浩外服国际物流有限公司"
中国物业服务企业综合实力500强,上海东湖物业管理有限公司,
中国物业服务企业综合实力500强,上海中企物业管理有限公司,
上市公司,上海中信信息发展股份有限公司,"上海中信信息发展股份有限公司,信息发展,ZHONGXIN INFORMATION DEVELOPMENT INC.,LTD.SHANGHAI,上海中信信息发展有限公司,中信信息"
中国房地产百强企业,上海中建东孚投资发展有限公司,
上市公司,上海中毅达股份有限公司,"上海中毅达股份有限公司,中纺,中毅达,中国纺织机械股份有限公司"
上市公司,上海中西药业股份有限公司,"上海中西药业股份有限公司,中西药业"
中国软件业务收入前百家企业,上海中通吉网络技术有限公司,
上市公司,上海丰华(集团)股份有限公司,"上海丰华(集团)股份有限公司,丰华股份"
"中国商业物业服务领先企业,中国物业服务市场化运营领先企业,中国物业服务企业综合实力500强",上海丰诚物业管理有限公司,
上市公司,上海临港控股股份有限公司,"上海临港控股股份有限公司,自仪股份,Shanghai Lingang Holdings Co.,Ltd,上海临港"
区域百强,上海临港经济发展(集团)有限公司,上海临港经济发展(集团)有限公司
上市公司,上海九百股份有限公司,"上海九百股份有限公司,上海九百,Shanghai Join Buy Co.,Ltd."
上市公司,上海二三四五网络控股集团股份有限公司,"上海二三四五网络控股集团股份有限公司,Shanghai 2345 Network Holding Group Co., Ltd.,二三四五,上海交大海隆软件股份有限公司,二三四五网络"
区域百强,上海亚泰建设集团有限公司,"上海亚泰建设集团有限公司,上海亚泰建设工程发展有限公司,亚泰建设"
上市公司,上海亚通股份有限公司,"上海亚通股份有限公司,亚通股份,Shang Hai Ya Tong Co., Ltd."
上市公司,上海交大昂立股份有限公司,"上海交大昂立股份有限公司,交大昂立,昂立教育,昂立股份"
"上市公司,区域百强",上海交运集团股份有限公司,"上海交运集团股份有限公司,Shanghai Jiao Yun Group Co., Ltd.,交运股份,上海交运股份有限公司"
区域百强,上海仪电(集团)有限公司,"上海仪电(集团)有限公司,上海仪电,仪电物联,上海仪电控股(集团)公司"
独角兽,上海优刻得信息科技有限公司,"上海优刻得信息科技有限公司,UCloud-优刻得,优刻得"
上市公司,上海会畅通讯股份有限公司,"上海会畅通讯股份有限公司,会畅通讯,BizConf Telecom Co.,Ltd.,上海会畅通讯科技发展有限公司"
"AI四小龙,独角兽,科技型中小企业",上海依图网络科技有限公司,"上海依图网络科技有限公司,依图科技,上海公司"
信托公司行业评级A类公司,上海信托,
上市公司,上海兰生股份有限公司,"上海兰生股份有限公司,兰生股份,Shanghai Lansheng Corporation"
"中国银行业前100强,中国银行业100强,区域百强",上海农村商业银行股份有限公司,"上海农村商业银行股份有限公司,上海农商行,上海农商银行"
上市公司,上海凤凰企业(集团)股份有限公司,"上海凤凰企业(集团)股份有限公司,上海凤凰,Shanghai Phoenix Enterprise ( Group) Co., Ltd,凤凰股份有限公司,凤凰股份"
上市公司,上海凯利泰医疗科技股份有限公司,"上海凯利泰医疗科技股份有限公司,凯利泰,Shanghai Kinetic Medical co.,ltd.,上海凯利泰医疗科技有限公司"
上市公司,上海凯宝药业股份有限公司,"上海凯宝药业股份有限公司,Shanghai Kaibao Pharmaceutical Co.,Ltd.,上海凯宝,上海凯宝药业有限公司,凯宝药业"
上市公司,上海创兴资源开发股份有限公司,"上海创兴资源开发股份有限公司,创兴置业,Shanghai Prosolar Resources Development Co.,Ltd,创兴资源"
上市公司,上海力盛赛车文化股份有限公司,"上海力盛赛车文化股份有限公司,Shanghai Lisheng Racing Co.,Ltd.,力盛赛车,上海力盛赛车文化有限公司,上海天马赛车场有限公司"
上市公司,上海加冷松芝汽车空调股份有限公司,"上海加冷松芝汽车空调股份有限公司,松芝股份,SONGZ AUTOMOBILE AIR CONDITIONING CO., LTD,上海加冷松芝汽车空调有限公司,松芝汽车"
"中国生物药研发实力50强,中国药品研发综合实力100强,中国药品研发综合实力100强,上市公司,中国500强,区域百强",上海医药集团股份有限公司,"上海医药集团股份有限公司,上海医药,Shanghai Pharmaceuticals Holding Co., Ltd.,神象(保健品商标),上海市医药股份有限公司"
"中国软件业务收入前百家企业,中国软件业务收入前百家企业,上市公司",上海华东电脑股份有限公司,"上海华东电脑股份有限公司,华东电脑,Shanghai East-China Computer Co.,Ltd."
上市公司,上海华峰超纤材料股份有限公司,"上海华峰超纤材料股份有限公司,华峰超纤,Huafon Microfibre (Shanghai) CO.,LTD.,华峰集团上海有限公司"
上市公司,上海华测导航技术股份有限公司,"上海华测导航技术股份有限公司,华测导航,SHANGHAI HUACE NAVIGATION TECHNOLOGY LTD.,上海华测导航技术有限公司"
区域百强,上海华虹(集团)有限公司,"上海华虹(集团)有限公司,华虹设计,华虹集团"
上市公司,上海华虹计通智能系统股份有限公司,"上海华虹计通智能系统股份有限公司,SHANGHAI HUAHONGJT SMART SYSTEM CO.,LTD,华虹计通"
"中国软件业务收入前百家企业,中国软件业务收入前百家企业",上海华讯网络系统有限公司,
"上市公司,中国500强,区域百强",上海华谊集团股份有限公司,"上海华谊集团股份有限公司,双钱股份,上海轮胎橡胶(集团)股份有限公司,双钱集团股份有限公司,上海轮胎橡胶集团股份有限公司,华谊集团"
中国物业服务企业综合实力500强,上海华鑫物业管理顾问有限公司,
上市公司,上海华鑫股份有限公司,"上海华鑫股份有限公司,上海金陵,上海金陵股份有限公司,华鑫股份"
上市公司,上海华铭智能终端设备股份有限公司,"上海华铭智能终端设备股份有限公司,华铭智能,Shanghai Huaming Intelligent Terminal Equipment Co., Ltd.,上海华铭智能终端设备有限公司"
"中国物业服务市场化运营领先企业,中国物业服务企业综合实力500强",上海古北物业管理(集团)有限公司,
上市公司,上海古鳌电子科技股份有限公司,"上海古鳌电子科技股份有限公司,Shanghai Guao Electronic Technology Co., Ltd.,古鳌科技,上海古鳌电子机械有限公司"
"中国写字楼物业服务领先企业,中国物业服务市场化运营领先企业,中国物业服务成长性领先企业,中国物业服务企业综合实力500强",上海合创嘉锦物业管理有限公司,
独角兽,上海合煦信息科技有限公司,"上海合煦信息科技有限公司,一起作业,合煦智远"
上市公司,上海同济科技实业股份有限公司,"上海同济科技实业股份有限公司,同济科技,Shanghai Tongji Science&Technology Industrial Co.,Ltd"
上市公司,上海同达创业投资股份有限公司,"上海同达创业投资股份有限公司,同达创业,Shanghai Tongda Venture Capital Co.,Ltd."
"中国生物药研发实力50强,中国药品研发综合实力100强,中国药品研发综合实力100强",上海君实生物医药科技股份有限公司,
"大厂经验,独角兽",上海哈啰普惠科技有限公司,"上海哈啰普惠科技有限公司,哈啰出行"
"《财富》中国500强,《财富》中国500强,中国500强,大厂经验",上海哔哩哔哩科技有限公司,"上海哔哩哔哩科技有限公司,B站,bilibili,哔哩哔哩"
上市公司,上海嘉麟杰纺织品股份有限公司,"上海嘉麟杰纺织品股份有限公司,嘉麟杰,Shanghai Challenge Textile Company Limited,嘉麟杰(002486),KROCEUS,上海嘉麟杰纺织品有限公司"
"《财富》中国500强净利润率10强,上市公司,中国500强,区域百强",上海国际港务(集团)股份有限公司,"上海国际港务(集团)股份有限公司,上港集团,上海国际港务(集团)有限公司,港务集团"
区域百强,上海均和集团有限公司,"上海均和集团有限公司,均和集团,上海均和钢铁集团有限公司"
区域百强,上海均瑶(集团)有限公司,"上海均瑶(集团)有限公司,九元航空,大东方,均瑶集团,九元航空有限公司"
区域百强,上海城建(集团)公司,"上海城建(集团)公司,上海城建(集团)公司(法团名称)上海城建(集团)"
中国房地产百强企业,上海城建置业发展有限公司,
区域百强,上海城投(集团)有限公司,"上海城投(集团)有限公司,上海市城市建设投资开发总公司"
上市公司,上海城投控股股份有限公司,"上海城投控股股份有限公司,城投控股,Shanghai Smi Holding Co.,Ltd,上海市城市建设投资开发总公司"
独角兽,上海壹账通金融科技有限公司,"上海壹账通金融科技有限公司,金融壹账通,壹账通科技"
中国物业服务企业综合实力500强,上海复医天健医疗服务产业股份有限公司,
独角兽,上海复宏汉霖生物技术股份有限公司,"上海复宏汉霖生物技术股份有限公司,复宏汉霖,上海复宏汉霖生物技术有限公司,上海复宏汉霖生物技术股份有限公司(法团名称),Henlius Biotech"
上市公司,上海复旦复华科技股份有限公司,"上海复旦复华科技股份有限公司,复旦复华,中和软件,保护神"
"中国医药工业主营业务收入100强,福布斯中国人工智能科技企业50强,中国生物药研发实力50强,上市公司",上海复星医药(集团)股份有限公司,"上海复星医药(集团)股份有限公司,复星医药,Shanghai Fosun Pharmaceutical (Group) Co., Ltd.,上海复星医药(集团)股份有限公司(法团名称),上海复星医药,上海复星医药集团股份有限公司,上海复星实业股份有限公司,上海复星医药集团股份有限公司法团名称ShanghaiFosunPharmaceuticalGroupCoLtd其他法团名称"
"中国物业服务市场化运营领先企业,中国物业服务企业综合实力500强",上海复欣物业管理发展有限公司,
区域百强,上海外高桥造船有限公司,上海外高桥造船有限公司
上市公司,上海外高桥集团股份有限公司,"上海外高桥集团股份有限公司,外高桥,Shanghai Waigaoqiao Free Trade Zone Group Co., Ltd.,上海外高桥保税区开发股份有限公司"
上市公司,上海大众公用事业(集团)股份有限公司,"上海大众公用事业(集团)股份有限公司,大众公用"
区域百强,上海大名城企业股份有限公司,"上海大名城企业股份有限公司,上海华源股份有限公司,大名城"
上市公司,上海大屯能源股份有限公司,"上海大屯能源股份有限公司,上海能源,大屯能源"
中国500强,上海大生农业金融科技股份有限公司,"上海大生农业金融科技股份有限公司,大生农业"
上市公司,上海天玑科技股份有限公司,"上海天玑科技股份有限公司,Shanghai DragonNet Technology Co., Ltd.,天玑科技,上海天玑科技有限责任公司,上海天玑科技"
上市公司,上海姚记扑克股份有限公司,"上海姚记扑克股份有限公司,Shanghai Yaoji Playing Card Co.,Ltd.,姚记扑克"
上市公司,上海威尔泰工业自动化股份有限公司,"上海威尔泰工业自动化股份有限公司,SHANGHAI WELLTECH AUTOMATION CO.,LTD.,威尔泰"
上市公司,上海安硕信息技术股份有限公司,"上海安硕信息技术股份有限公司,安硕信息,Shanghai Amarsoft Information & Technology Co.,Ltd,上海安硕信息技术有限公司"
独角兽,上海安能聚创供应链管理有限公司,"上海安能聚创供应链管理有限公司,安能物流,安能聚创"
上市公司,上海安诺其集团股份有限公司,"上海安诺其集团股份有限公司,安诺其,Shanghai Anoky Group Co., Ltd,上海安诺其纺织化工股份有限公司"
上市公司,上海宏达矿业股份有限公司,"上海宏达矿业股份有限公司,华阳科技,山东华阳科技股份有限公司,宏达矿业"
"中国软件业务收入前百家企业,中国软件业务收入前百家企业,CNPP软件开发公司行业十大品牌,十大软件开发公司,上市公司",上海宝信软件股份有限公司,"上海宝信软件股份有限公司,宝信软件,Shanghai Baosight Software Co.,Ltd."
区域百强,上海宝冶集团有限公司,"上海宝冶集团有限公司,上海宝冶建设有限公司,上海宝冶建设,宝冶集团"
