"F_ID","F_SKILL_ID","F_ALIAS"
100134,100134,CSS
100135,100135,SQL
100136,100136,Python
100137,100137,C/C++
100138,100138,HTML5
100139,100139,Java
100140,100140,HTML
100141,100141,Perl
117827,100143,Game Development
100143,100143,游戏开发
117828,100144,.NET Development
100144,100144,.NET开发
117829,100145,Backend Development
100145,100145,后端开发
117830,100146,Node.js Development
100146,100146,Node.js开发
117831,100147,Front-end development
100147,100147,前端开发
100149,100149,Linux
100150,100150,Unix
100151,100151,Android
117835,100152,Mini Programs
100152,100152,小程序
100154,100154,Laravel
100155,100155,ThinkPHP
100156,100156,Codelgniter
100157,100157,Phalcon
100158,100158,Zend Framework
100159,100159,Yii2
100160,100160,Symfony
100162,100162,WordPress
100163,100163,JSON
100164,100164,LAMP
100165,100165,LNMP
100166,100166,Smarty
100168,100168,NoSQL
100169,100169,MySQL
100170,100170,Redis
100171,100171,SQL Server
100172,100172,MongoDB
100174,100174,Docker
100175,100175,Kubernetes
100178,100178,Golang
100179,100179,SQL
100180,100180,Java
117858,100182,Architecture Design
100182,100182,架构设计
117859,100183,Data Scraping
100183,100183,数据抓取
117860,100184,Web crawler
100184,100184,网络爬虫
117861,100186,Container Technology
100186,100186,容器技术
117862,100187,Socket Technology
100187,100187,Socket技术
117863,100188,Virtual Machine Technology
100188,100188,虚拟机技术
117864,100189,Distributed Technology
100189,100189,分布式技术
100191,100191,Linux
100192,100192,Unix
100193,100193,Windows
100195,100195,Flask
100196,100196,Spring
100197,100197,Hibernate
100198,100198,Nutch
100199,100199,Heritrix
100200,100200,SQLAlchemy
100201,100201,WebMagic
100202,100202,Tornado
100203,100203,Django
100204,100204,Pyspider
100205,100205,Scrapy
100207,100207,Framework
100208,100208,Jenkins
100209,100209,Celery
100210,100210,FastDFS
100211,100211,PyCharm
100212,100212,RabbitMQ
100213,100213,XPath
100215,100215,TensorFlow
100216,100216,Caffe
100217,100217,MXNet
117889,100219,Data Mining
100219,100219,数据挖掘
117890,100220,Data collection
100220,100220,数据采集
100222,100222,PostgreSQL
100223,100223,MySQL
100224,100224,Redis
100225,100225,MongoDB
100227,100227,Spark
100228,100228,Kafka
100229,100229,Hadoop
100231,100231,Pandas
100232,100232,Matplotlib
100233,100233,NumPy
100235,100235,Openstack
100236,100236,Ansible
100237,100237,Docker
100238,100238,CMDB
100239,100239,Nginx
100240,100240,Kubernetes
100243,100243,CSS
100244,100244,SQL
100245,100245,JavaScript
100246,100246,Python
100247,100247,VB
100248,100248,C++
117913,100250,Socket Technology
100250,100250,Socket技术
117914,100251,Network Protocol
100251,100251,网络协议
117915,100252,Multi-process
100252,100252,多进程
117916,100253,Network Programming
100253,100253,网络编程
117917,100254,Multithreading
100254,100254,多线程
117918,100256,Game Development
100256,100256,游戏开发
117919,100257,.NET Development
100257,100257,.NET开发
117920,100258,Backend Development
100258,100258,后端开发
100260,100260,Linux
100261,100261,Windows
100263,100263,ASP.NET
100264,100264,.NET MVC
100265,100265,ASP.NET MVC
100266,100266,Winform
100267,100267,WPF
100269,100269,Visual Studio
100270,100270,DevExpress
100272,100272,Oracle
100273,100273,MySQL
100274,100274,SQL Server
100277,100277,C#
100278,100278,SQL
100279,100279,F#
100280,100280,VB.NET
100281,100281,Java
100282,100282,HTML
100283,100283,VB
100285,100285,AJAX
117941,100286,Socket Technology
100286,100286,Socket技术
117942,100287,Distributed Technology
100287,100287,分布式技术
117943,100288,Network Protocol
100288,100288,网络协议
117944,100289,Multi-process
100289,100289,多进程
117945,100290,Network Programming
100290,100290,网络编程
117946,100291,Data Structure
100291,100291,数据结构
117947,100292,Multithreading
100292,100292,多线程
100294,100294,ASP.NET
100295,100295,.NET MVC
100296,100296,.NET Core
100297,100297,ASP.NET MVC
100298,100298,EF
100299,100299,Winform
100300,100300,WPF
100302,100302,Visual Studio
100303,100303,Framework
100304,100304,DevExpress
100305,100305,RabbitMQ
100307,100307,Oracle
100308,100308,SQLite
100309,100309,MySQL
100310,100310,SQL Server
100311,100311,MongoDB
100313,100313,Docker
100314,100314,Kubernetes
100317,100317,PHP
100318,100318,Shell
100319,100319,Python
100320,100320,C/C++
100321,100321,Java
100322,100322,Perl
117972,100324,Microservices Architecture
100324,100324,微服务架构
117973,100325,Container Technology
100325,100325,容器技术
117974,100326,Socket Technology
100326,100326,Socket技术
117975,100327,Distributed Technology
100327,100327,分布式技术
117976,100328,Network Protocol
100328,100328,网络协议
117977,100329,Multi-process
100329,100329,多进程
117978,100330,Message Queues
100330,100330,消息队列
117979,100331,Network Programming
100331,100331,网络编程
117980,100332,Data Structure
100332,100332,数据结构
117981,100333,Multithreading
100333,100333,多线程
100335,100335,Linux
100336,100336,Unix
117984,100338,Backend Development
100338,100338,后端开发
117985,100339,Server-side Development
100339,100339,服务端开发
100341,100341,gRPC
100342,100342,Beego
100343,100343,Gin
100345,100345,MySQL
100346,100346,Redis
100348,100348,K8S
100349,100349,Docker
100350,100350,Kubernetes
100353,100353,Golang
100354,100354,CSS
100355,100355,SQL
100356,100356,TypeScript
100357,100357,PHP
100358,100358,JavaScript
100359,100359,Shell
100360,100360,Python
100361,100361,ES6
100362,100362,ES5
100363,100363,XML
100364,100364,Java
100365,100365,HTML
100367,100367,AJAX
118008,100368,Socket Technology
100368,100368,Socket技术
118009,100369,Distributed Technology
100369,100369,分布式技术
100371,100371,Linux
100372,100372,Unix
118012,100374,Backend Development
100374,100374,后端开发
118013,100375,Front-end development
100375,100375,前端开发
100377,100377,JQuery
100378,100378,Vue
100379,100379,Angular
100380,100380,Bootstrap
100381,100381,React
100383,100383,Pomelo
100384,100384,Egg
100385,100385,ThinkJS
100386,100386,Express
100387,100387,Koa
100389,100389,Kibana
100390,100390,JSON
100391,100391,Redux
100392,100392,RabbitMQ
100393,100393,Sequelize
100395,100395,PostgreSQL
100396,100396,Oracle
100397,100397,MySQL
100398,100398,Redis
100399,100399,SQL Server
100400,100400,MongoDB
100403,100403,SQL
100404,100404,Python
100405,100405,Scala
100406,100406,Java
118039,100408,Big Data Analysis
100408,100408,大数据分析
118040,100409,Big Data Development
100409,100409,大数据开发
118041,100410,Architecture Design
100410,100410,架构设计
118042,100411,Offline computing
100411,100411,离线计算
118043,100412,Data warehouse modeling
100412,100412,数仓建模
118044,100413,Data Architecture
100413,100413,数据架构
118045,100414,Data Mart
100414,100414,数据集市
118046,100415,Data Modeling
100415,100415,数据建模
118047,100416,Data Middle Center
100416,100416,数据中台
118048,100417,Data Operation and Maintenance
100417,100417,数据运维
118049,100418,Data Migration
100418,100418,数据迁移
118050,100419,Data cleaning
100419,100419,数据清洗
118051,100421,Data Warehouse
100421,100421,数据仓库
118052,100422,Data Mining
100422,100422,数据挖掘
118053,100423,Data Governance
100423,100423,数据治理
118054,100424,Data collection
100424,100424,数据采集
100425,100425,ETL
100427,100427,NoSQL
100428,100428,MySQL
100429,100429,Redis
100430,100430,SparkSQL
100431,100431,Kudu
100433,100433,Spark
100434,100434,Presto
100435,100435,Kylin
100436,100436,Streaming
100437,100437,Azkaban
100438,100438,Kerberos
100439,100439,Flink
100440,100440,Flume
100441,100441,Storm
100442,100442,Kafka
100443,100443,Hbase
100444,100444,Impala
100445,100445,MapReduce
100446,100446,Yarn
100447,100447,Sqoop
100448,100448,Oozie
100449,100449,HDFS
100451,100451,DataX
100452,100452,Kettle
100455,100455,Python
100456,100456,Java
100457,100457,C++
118083,100459,Pattern Recognition
100459,100459,模式识别
118084,100460,Face Detection
100460,100460,人脸检测
118085,100461,Video surveillance
100461,100461,视频监控
118086,100462,Video Processing
100462,100462,视频处理
118087,100463,Video Algorithm
100463,100463,视频算法
118088,100464,Video Development
100464,100464,视频开发
118089,100465,Recognition algorithm
100465,100465,识别算法
118090,100466,Video Capture
100466,100466,视频采集
118091,100467,Live Video
100467,100467,视频直播
118092,100468,Video Image
100468,100468,视频图像
118093,100469,Digital Image
100469,100469,数字图像
118094,100470,Image Recognition
100470,100470,图像识别
118095,100471,Image Segmentation
100471,100471,图像分割
118096,100472,Image Enhancement
100472,100472,图像增强
118097,100473,Digital Signal
100473,100473,数字信号
118098,100474,Image Processing
100474,100474,图像处理
118099,100475,Image Programming
100475,100475,图像编程
118100,100476,Signal Processing
100476,100476,信号处理
118101,100477,Audio Algorithms
100477,100477,音频算法
118102,100478,Audio Processing
100478,100478,音频处理
118103,100479,Audio Codec
100479,100479,音频编解码
118104,100480,Speech Synthesis
100480,100480,语音合成
118105,100481,Speech Signal Processing
100481,100481,语音信号处理
118106,100482,Speech Recognition
100482,100482,语音识别
118107,100484,Audio and video codec
100484,100484,音视频编解码
118108,100485,Embedded Technology
100485,100485,嵌入式技术
118109,100486,Streaming Media Technology
100486,100486,流媒体技术
118110,100487,Graphics Development
100487,100487,图形开发
118111,100488,Graphics Rendering
100488,100488,图形渲染
118112,100489,Socket Technology
100489,100489,Socket技术
100491,100491,QT
100492,100492,GStreamer
100493,100493,Libstagefright
100495,100495,CUDA
100496,100496,OpenGL
100497,100497,Shader
100499,100499,TensorFlow
100500,100500,PyTorch
100501,100501,Caffe
100502,100502,MXNet
100505,100505,SQL
100506,100506,Python
100507,100507,Java
118126,100509,Architecture Design
100509,100509,架构设计
118127,100510,Data Scraping
100510,100510,数据抓取
118128,100511,Data cleaning
100511,100511,数据清洗
118129,100513,Web crawler technology
100513,100513,网络爬虫技术
118130,100514,Distributed Crawler
100514,100514,分布式爬虫
118131,100515,Distributed Technology
100515,100515,分布式技术
100517,100517,Pyspider
100518,100518,Scrapy
100520,100520,MapGIS
100521,100521,XPath
118136,100523,Data Warehouse
100523,100523,数据仓库
118137,100524,Data analysis
100524,100524,数据分析
118138,100525,Data Mining
100525,100525,数据挖掘
118139,100526,Data Governance
100526,100526,数据治理
100527,100527,ETL
100529,100529,Oracle
100530,100530,MySQL
100531,100531,Redis
100532,100532,MongoDB
100534,100534,Spark
100535,100535,Flume
100536,100536,Kafka
100537,100537,Hadoop
100538,100538,Hbase
100539,100539,Sqoop
100541,100541,SPSS
100542,100542,SAS
100543,100543,Tableau
100544,100544,Pandas
100545,100545,Matlab
100548,100548,C#
100549,100549,CSS
100550,100550,GLSL
100551,100551,Java
100552,100552,HTML
118161,100554,GIS Algorithms
100554,100554,GIS算法
118162,100555,Spatial Database
100555,100555,空间数据库
118163,100556,"3D Development"
100556,100556,三维开发
118164,100557,"3D GIS"
100557,100557,三维GIS
118165,100558,"3D Rendering"
100558,100558,三维渲染
118166,100559,remote sensing
100559,100559,遥感
118167,100560,Remote sensing images
100560,100560,遥感影像
100562,100562,Leaflet
100563,100563,MapEasy
100565,100565,SuperMap
100566,100566,ArcGIS
118172,100567,"3D Engine"
100567,100567,"3D引擎"
100568,100568,ArcCatalog
100569,100569,ArcMap
100570,100570,ArcEngine
100571,100571,CesiumJS
100572,100572,Cesium
100573,100573,Erdas
100574,100574,ENVI
100575,100575,GeoMesa
100576,100576,GDAL
100577,100577,GeoTools
100578,100578,MapGIS
100579,100579,Mapbox
100580,100580,QGIS
100581,100581,OpenGIS
100582,100582,OSGEarth
100583,100583,uDig
100584,100584,WebGL
100585,100585,OpenGL
100587,100587,Gvsig
100588,100588,GeoTools
100589,100589,Mapnik
100590,100590,MapBox GL
100591,100591,SuperMap
100592,100592,ArcGIS
100593,100593,Gdal
100594,100594,Cesium
100595,100595,WorldWind
100596,100596,Openjump
100597,100597,OSGEarth
100598,100598,WebGL
100599,100599,QGIS
100601,100601,PostgreSQL
100602,100602,Oracle
100603,100603,Access
100604,100604,MySQL
100605,100605,SQL Server
100606,100606,ArCSDE
100607,100607,PostGIS
100610,100610,Golang
100611,100611,CSS
100612,100612,PHP
100613,100613,Python
100614,100614,CSS3
100615,100615,C
100616,100616,HTML5
100617,100617,Less
100618,100618,XML
100619,100619,Sass
100620,100620,XHTML
100621,100621,Java
100622,100622,HTML
100623,100623,C++
118225,100625,Microservices Architecture
100625,100625,微服务架构
100626,100626,AJAX
118227,100627,Distributed Technology
100627,100627,分布式技术
118228,100628,Network Protocol
100628,100628,网络协议
118229,100629,Multi-process
100629,100629,多进程
118230,100630,Message Queues
100630,100630,消息队列
118231,100631,Data Structure
100631,100631,数据结构
118232,100632,Multithreading
100632,100632,多线程
118233,100634,Full stack development
100634,100634,全栈开发
118234,100635,.NET Development
100635,100635,.NET开发
118235,100636,Backend Development
100636,100636,后端开发
118236,100637,Node.js Development
100637,100637,Node.js开发
118237,100638,Front-end development
100638,100638,前端开发
118238,100639,Front-end and back-end development
100639,100639,前后端开发
100641,100641,JQuery
100642,100642,Vue
100643,100643,Angular
100644,100644,Bootstrap
100645,100645,AngularJS
100646,100646,Vue.js
100647,100647,React
100649,100649,Laravel
100650,100650,ThinkPHP
100651,100651,Spring
100652,100652,SpringMVC
100653,100653,SpringBoot
118251,100654,Spring Cloud
100654,100654,SpringCloud
100656,100656,SVN
100658,100658,NoSQL
100659,100659,MySQL
100660,100660,Redis
100661,100661,MongoDB
100663,100663,Docker
100664,100664,Kubernetes
100667,100667,C#
100668,100668,Golang
100669,100669,PHP
118262,100670,C
100670,100670,C语言
100671,100671,Python
100672,100672,Java
100673,100673,Ruby
100674,100674,C++
118267,100676,Microservices Architecture
100676,100676,微服务架构
118268,100677,Socket Technology
100677,100677,Socket技术
118269,100678,Distributed Technology
100678,100678,分布式技术
118270,100679,Network Protocol
100679,100679,网络协议
118271,100680,Multi-process
100680,100680,多进程
118272,100681,Message Queues
100681,100681,消息队列
118273,100682,Data Structure
100682,100682,数据结构
118274,100683,Multithreading
100683,100683,多线程
118275,100685,PC
100685,100685,PC端
118276,100686,Web
100686,100686,Web端
100687,100687,Linux
100688,100688,Windows
100690,100690,SpringBoot
118280,100691,Spring Cloud
100691,100691,SpringCloud
100694,100694,CSS
100695,100695,SQL
100696,100696,JavaScript
100697,100697,CSS3
100698,100698,HTML5
100699,100699,HTML
100701,100701,JQuery
100702,100702,Vue
100703,100703,Angular
100704,100704,Bootstrap
100705,100705,AngularJS
100706,100706,Ember.js
100707,100707,Avalon
100708,100708,RequireJS
100709,100709,weex
100710,100710,Native.js
100711,100711,ExtJS
100712,100712,React.JS
100713,100713,React
100714,100714,Dojo
100717,100717,Kotlin
100718,100718,C
100719,100719,Java
100720,100720,C++
118305,100722,React Native Development
100722,100722,React Native开发
118306,100723,Performance Tuning
100723,100723,性能调优
118307,100724,Memory Management
100724,100724,内存管理
118308,100725,Socket Technology
100725,100725,Socket技术
118309,100726,Data Structure
100726,100726,数据结构
118310,100727,Multithreading
100727,100727,多线程
118311,100728,Hybrid Development
100728,100728,Hybrid开发
118312,100730,Mini Program Development
100730,100730,小程序开发
118313,100731,Public account development
100731,100731,公众号开发
100733,100733,Glide
100734,100734,Rxjava
100735,100735,OkHttp
100736,100736,Retrofit
100737,100737,Flutter
100738,100738,MVVM
100739,100739,MVP
100740,100740,MVC
100742,100742,Eclipse
100743,100743,Framework
100744,100744,SVN
100745,100745,Android SDK
100746,100746,Android NDK
100747,100747,Android UI
100748,100748,Android Studio
100749,100749,Maven
100750,100750,SDK
100751,100751,Gradle
100754,100754,Swift
100755,100755,C/C++
100756,100756,XML
100757,100757,Objective-C
118336,100759,React Native Development
100759,100759,React Native开发
100760,100760,Runtime
100761,100761,Block
118339,100762,SDK Development
100762,100762,SDK开发
118340,100763,Performance Tuning
100763,100763,性能调优
118341,100764,Memory Management
100764,100764,内存管理
118342,100765,Socket Technology
100765,100765,Socket技术
118343,100766,Data Structure
100766,100766,数据结构
118344,100767,Multithreading
100767,100767,多线程
118345,100768,Hybrid Development
100768,100768,Hybrid开发
118346,100770,Mini Program Development
100770,100770,小程序开发
118347,100771,Public account development
100771,100771,公众号开发
100773,100773,Flutter
100774,100774,Cocoa
100775,100775,CoreData
100776,100776,UIKit
100778,100778,Xcode
100779,100779,SVN
100780,100780,AutoLayout
100781,100781,RunLoop
100782,100782,Instruments
100783,100783,iOS UI
100784,100784,iOS SDK
100785,100785,JSON
100786,100786,CocoaPods
100789,100789,C#
100790,100790,Lua
100791,100791,Python
100792,100792,ShaderLab
100793,100793,C++
118366,100795,Game Engine
100795,100795,游戏引擎
118367,100796,"3D Graphics Development"
100796,100796,"3D图形开发"
100797,100797,AR
100798,100798,VR
118370,100799,Graphics Rendering
100799,100799,图形渲染
118371,100800,Virtual Simulation
100800,100800,虚拟仿真
118372,100802,Game Development
100802,100802,游戏开发
118373,100803,Front-end development
100803,100803,前端开发
118374,100804,Mobile game development
100804,100804,手游开发
118375,100805,Mobile Development
100805,100805,移动开发
118376,100806,Game front-end development
100806,100806,游戏前端开发
118377,100807,Game client development
100807,100807,游戏客户端开发
100809,100809,Animator
100810,100810,AssetBundle
100811,100811,Direct3D
100812,100812,DOTween
100813,100813,WebGL
100814,100814,OpenGL
100815,100815,NGUI
100816,100816,UGUI
100817,100817,DirectX
100818,100818,Shader
100820,100820,ARPG
118389,100821,SLG Games
100821,100821,SLG游戏
118390,100822,Card Games
100822,100822,卡牌游戏
118391,100823,MOBA games
100823,100823,MOBA类游戏
100826,100826,Lua
100827,100827,Python
100828,100828,C
100829,100829,C++
118396,100831,Scenario Development
100831,100831,场景开发
118397,100832,Level Design/Terrain Editing
100832,100832,地编制作
118398,100833,Blueprint Development
100833,100833,蓝图开发
118399,100835,Game Engine
100835,100835,游戏引擎
100836,100836,AR
100837,100837,PBR
118402,100838,UE4 special effects
100838,100838,UE4特效
118403,100839,UE4 Technical Art
100839,100839,UE4技术美术
100840,100840,VR
118405,100841,UE4 Engine
100841,100841,UE4引擎
118406,100842,UE4 Level Design
100842,100842,UE4地编
118407,100843,Graphics Rendering
100843,100843,图形渲染
118408,100844,Virtual Reality (VR)
100844,100844,虚拟现实
118409,100846,Game Development
100846,100846,游戏开发
118410,100847,UE4 Development
100847,100847,UE4开发
118411,100848,Mobile game development
100848,100848,手游开发
100850,100850,OpenGL
100851,100851,DirectX
100852,100852,Shader
100855,100855,Lua
100856,100856,TypeScript
100857,100857,Python
100858,100858,C
100859,100859,Java
100860,100860,C++
118421,100862,Game Development
100862,100862,游戏开发
118422,100863,Front-end development
100863,100863,前端开发
118423,100864,Mobile game development
100864,100864,手游开发
118424,100865,Game front-end development
100865,100865,游戏前端开发
118425,100866,Game client development
100866,100866,游戏客户端开发
100868,100868,Xcode
100869,100869,Android Studio
100870,100870,LayaBox
100871,100871,OpenGL
100872,100872,CocosBuilder
100873,100873,CocosCreator
100874,100874,CocoStudio
100877,100877,CSS
100878,100878,TypeScript
100879,100879,CSS3
100880,100880,Less
100881,100881,XML
100882,100882,HTML
100884,100884,AJAX
118440,100885,Hybrid Development
100885,100885,Hybrid开发
100887,100887,jQuery Mobile
100889,100889,JQuery
100890,100890,Vue
100891,100891,Electron
100892,100892,Angular
100893,100893,Bootstrap
100894,100894,Zepto
100895,100895,AngularJS
100896,100896,Ember.js
100897,100897,Avalon
100898,100898,RequireJS
100899,100899,weex
100900,100900,Vue.js
100901,100901,Native.js
100902,100902,ExtJS
100903,100903,React.JS
100904,100904,React
100905,100905,Dojo
100907,100907,DIV+CSS
100908,100908,JSON
100909,100909,Redux
100912,100912,SQL
100913,100913,Shell
100914,100914,Python
100915,100915,Java
100917,100917,Linux
100918,100918,Windows
100920,100920,SVN
100921,100921,Fiddler
100922,100922,GIT
100923,100923,JIRA
118472,100925,multimeter
100925,100925,万用表
118473,100926,Oscilloscope
100926,100926,示波器
100928,100928,Oracle
100929,100929,MySQL
118476,100931,Software Testing
100931,100931,软件测试
118477,100932,Server-side Testing
100932,100932,服务端测试
118478,100933,Automated testing
100933,100933,自动化测试
118479,100934,Security Testing
100934,100934,安全测试
118480,100935,Game Testing
100935,100935,游戏测试
118481,100936,System Testing
100936,100936,系统测试
118482,100937,Bank Testing
100937,100937,银行测试
118483,100938,Interface testing
100938,100938,接口测试
118484,100939,APP Testing
100939,100939,APP测试
118485,100940,Android Testing
100940,100940,Android测试
118486,100941,PC Tests
100941,100941,PC测试
118487,100942,iOS Testing
100942,100942,iOS测试
118488,100943,Network Testing
100943,100943,网络测试
118489,100944,Financial Test
100944,100944,金融测试
118490,100945,Mini Program Test
100945,100945,小程序测试
118491,100946,Windows Testing
100946,100946,Windows测试
118492,100947,Server-side testing
100947,100947,Server端测试
118493,100948,Big data testing
100948,100948,大数据测试
118494,100949,White Box Testing
100949,100949,白盒测试
118495,100950,Black Box Testing
100950,100950,黑盒测试
118496,100951,Hardware Testing
100951,100951,硬件测试
118497,100952,Functional testing
100952,100952,功能测试
118498,100953,Mobile-side testing
100953,100953,移动端测试
118499,100954,Gray Box Testing
100954,100954,灰盒测试
118500,100955,Performance Testing
100955,100955,性能测试
118501,100956,Penetration Testing
100956,100956,渗透测试
100958,100958,Postman
100959,100959,Selenium
100960,100960,Quality Center
100961,100961,Jmeter
100962,100962,Appium
118507,100963,ZenTao
100963,100963,禅道
100964,100964,LoadRunner
100965,100965,Charles
100968,100968,SQL
100969,100969,Shell
100970,100970,Python
100971,100971,Java
100973,100973,Linux
100974,100974,Windows
100976,100976,SVN
100977,100977,Fiddler
100978,100978,GIT
100979,100979,JIRA
100981,100981,Oracle
100982,100982,MySQL
118522,100984,Server-side Testing
100984,100984,服务端测试
118523,100985,Automated testing
100985,100985,自动化测试
118524,100986,Security Testing
100986,100986,安全测试
118525,100987,Game Testing
100987,100987,游戏测试
118526,100988,System Testing
100988,100988,系统测试
118527,100989,Bank Testing
100989,100989,银行测试
118528,100990,Interface testing
100990,100990,接口测试
118529,100991,APP Testing
100991,100991,APP测试
118530,100992,Android Testing
100992,100992,Android测试
118531,100993,PC Tests
100993,100993,PC测试
118532,100994,iOS Testing
100994,100994,iOS测试
118533,100995,Network Testing
100995,100995,网络测试
118534,100996,Financial Test
100996,100996,金融测试
118535,100997,Mini Program Test
100997,100997,小程序测试
118536,100998,Windows Testing
100998,100998,Windows测试
118537,100999,Server-side testing
100999,100999,Server端测试
118538,101000,Big data testing
101000,101000,大数据测试
118539,101001,White Box Testing
101001,101001,白盒测试
118540,101002,Black Box Testing
101002,101002,黑盒测试
118541,101003,Functional testing
101003,101003,功能测试
118542,101004,Mobile-side testing
101004,101004,移动端测试
118543,101005,Test Development
101005,101005,测试开发
118544,101006,Gray Box Testing
101006,101006,灰盒测试
118545,101007,Performance Testing
101007,101007,性能测试
118546,101008,Penetration Testing
101008,101008,渗透测试
101010,101010,Bugfree
101011,101011,Postman
101012,101012,Selenium
101013,101013,Quality Center
101014,101014,Jmeter
101015,101015,TestNG
101016,101016,Appium
118554,101017,ZenTao
101017,101017,禅道
101018,101018,LoadRunner
101019,101019,Charles
101022,101022,SQL
101023,101023,Shell
101024,101024,Python
101025,101025,Java
118561,101027,Android Automation Testing
101027,101027,Android自动化测试
118562,101028,APP Automated Testing
101028,101028,APP自动化测试
118563,101029,iOS Automated Testing
101029,101029,iOS自动化测试
118564,101030,Web Automated Testing
101030,101030,Web自动化测试
101032,101032,Linux
101033,101033,Windows
101035,101035,Oracle
101036,101036,MySQL
118569,101038,Mobile-side Automated Testing
101038,101038,移动端自动化测试
118570,101039,UI Automated Testing
101039,101039,UI自动化测试
118571,101040,Interface Automated testing
101040,101040,接口自动化测试
118572,101041,Test Development
101041,101041,测试开发
118573,101042,Performance Testing
101042,101042,性能测试
118574,101044,Robot Framework
101044,101044,RobotFramework
101045,101045,Selenium
101046,101046,Jmeter
101047,101047,TestNG
101048,101048,Appium
101051,101051,SQL
101052,101052,Python
101054,101054,Linux
101055,101055,Windows
101057,101057,SVN
101058,101058,Fiddler
101059,101059,GIT
101060,101060,JIRA
101062,101062,Oracle
101063,101063,MySQL
101064,101064,SQL Server
118590,101066,Software Testing
101066,101066,软件测试
118591,101067,Server-side Testing
101067,101067,服务端测试
118592,101068,Game Testing
101068,101068,游戏测试
118593,101069,System Testing
101069,101069,系统测试
118594,101070,Bank Testing
101070,101070,银行测试
118595,101071,Interface testing
101071,101071,接口测试
118596,101072,APP Testing
101072,101072,APP测试
118597,101073,Android Testing
101073,101073,Android测试
118598,101074,PC Tests
101074,101074,PC测试
118599,101075,iOS Testing
101075,101075,iOS测试
118600,101076,Financial Test
101076,101076,金融测试
118601,101077,Mini Program Test
101077,101077,小程序测试
118602,101078,Windows Testing
101078,101078,Windows测试
118603,101079,Server-side testing
101079,101079,Server端测试
118604,101080,White Box Testing
101080,101080,白盒测试
118605,101081,Black Box Testing
