一级,二级,技能名,技能id,技能编码,别名
Python,Hadoop组件/工具,Kafka,100228,0/100176/100226/100228,Kafka
Python,Hadoop组件/工具,Hadoop,100229,0/100176/100226/100229,Hadoop
Python,数据分析工具,Pandas,100231,0/100176/100230/100231,Pandas
Python,数据分析工具,Matplotlib,100232,0/100176/100230/100232,Matplotlib
Python,数据分析工具,NumPy,100233,0/100176/100230/100233,NumPy
Python,运维工具,Openstack,100235,0/100176/100234/100235,Openstack
Python,运维工具,Ansible,100236,0/100176/100234/100236,Ansible
Python,运维工具,Docker,100237,0/100176/100234/100237,Docker
Python,运维工具,CMDB,100238,0/100176/100234/100238,CMDB
Python,运维工具,Nginx,100239,0/100176/100234/100239,Nginx
Python,运维工具,Kubernetes,100240,0/100176/100234/100240,Kubernetes
C#,计算机语言方向,CSS,100243,0/100241/100242/100243,CSS
C#,计算机语言方向,SQL,100244,0/100241/100242/100244,SQL
C#,计算机语言方向,JavaScript,100245,0/100241/100242/100245,JavaScript
C#,计算机语言方向,Python,100246,0/100241/100242/100246,Python
C#,计算机语言方向,VB,100247,0/100241/100242/100247,VB
C#,计算机语言方向,C++,100248,0/100241/100242/100248,C++
C#,技术类型,Socket技术,100250,0/100241/100249/100250,"Socket技术,Socket Technology"
C#,技术类型,网络协议,100251,0/100241/100249/100251,"网络协议,Network Protocol"
C#,技术类型,多进程,100252,0/100241/100249/100252,"多进程,Multi-process"
C#,技术类型,网络编程,100253,0/100241/100249/100253,"网络编程,Network Programming"
C#,技术类型,多线程,100254,0/100241/100249/100254,"多线程,Multithreading"
C#,软件开发方向,游戏开发,100256,0/100241/100255/100256,"游戏开发,Game Development"
C#,软件开发方向,.NET开发,100257,0/100241/100255/100257,".NET开发,.NET Development"
C#,软件开发方向,后端开发,100258,0/100241/100255/100258,"后端开发,Backend Development"
C#,系统类型,Linux,100260,0/100241/100259/100260,Linux
C#,系统类型,Windows,100261,0/100241/100259/100261,Windows
C#,后端框架,ASP.NET,100263,0/100241/100262/100263,ASP.NET
C#,后端框架,.NET MVC,100264,0/100241/100262/100264,.NET MVC
C#,后端框架,ASP.NET MVC,100265,0/100241/100262/100265,ASP.NET MVC
C#,后端框架,Winform,100266,0/100241/100262/100266,Winform
C#,后端框架,WPF,100267,0/100241/100262/100267,WPF
C#,软件开发工具,Visual Studio,100269,0/100241/100268/100269,Visual Studio
C#,软件开发工具,DevExpress,100270,0/100241/100268/100270,DevExpress
C#,数据库类型,Oracle,100272,0/100241/100271/100272,Oracle
C#,数据库类型,MySQL,100273,0/100241/100271/100273,MySQL
C#,数据库类型,SQL Server,100274,0/100241/100271/100274,SQL Server
.NET,计算机语言方向,C#,100277,0/100275/100276/100277,C#
.NET,计算机语言方向,SQL,100278,0/100275/100276/100278,SQL
.NET,计算机语言方向,F#,100279,0/100275/100276/100279,F#
.NET,计算机语言方向,VB.NET,100280,0/100275/100276/100280,VB.NET
.NET,计算机语言方向,Java,100281,0/100275/100276/100281,Java
.NET,计算机语言方向,HTML,100282,0/100275/100276/100282,HTML
.NET,计算机语言方向,VB,100283,0/100275/100276/100283,VB
.NET,技术类型,AJAX,100285,0/100275/100284/100285,AJAX
.NET,技术类型,Socket技术,100286,0/100275/100284/100286,"Socket技术,Socket Technology"
.NET,技术类型,分布式技术,100287,0/100275/100284/100287,"分布式技术,Distributed Technology"
.NET,技术类型,网络协议,100288,0/100275/100284/100288,"网络协议,Network Protocol"
.NET,技术类型,多进程,100289,0/100275/100284/100289,"多进程,Multi-process"
.NET,技术类型,网络编程,100290,0/100275/100284/100290,"网络编程,Network Programming"
.NET,技术类型,数据结构,100291,0/100275/100284/100291,"数据结构,Data Structure"
.NET,技术类型,多线程,100292,0/100275/100284/100292,"多线程,Multithreading"
.NET,后端框架,ASP.NET,100294,0/100275/100293/100294,ASP.NET
.NET,后端框架,.NET MVC,100295,0/100275/100293/100295,.NET MVC
.NET,后端框架,.NET Core,100296,0/100275/100293/100296,.NET Core
.NET,后端框架,ASP.NET MVC,100297,0/100275/100293/100297,ASP.NET MVC
.NET,后端框架,EF,100298,0/100275/100293/100298,EF
.NET,后端框架,Winform,100299,0/100275/100293/100299,Winform
.NET,后端框架,WPF,100300,0/100275/100293/100300,WPF
.NET,软件开发工具,Visual Studio,100302,0/100275/100301/100302,Visual Studio
.NET,软件开发工具,Framework,100303,0/100275/100301/100303,Framework
.NET,软件开发工具,DevExpress,100304,0/100275/100301/100304,DevExpress
.NET,软件开发工具,RabbitMQ,100305,0/100275/100301/100305,RabbitMQ
.NET,数据库类型,Oracle,100307,0/100275/100306/100307,Oracle
.NET,数据库类型,SQLite,100308,0/100275/100306/100308,SQLite
.NET,数据库类型,MySQL,100309,0/100275/100306/100309,MySQL
.NET,数据库类型,SQL Server,100310,0/100275/100306/100310,SQL Server
.NET,数据库类型,MongoDB,100311,0/100275/100306/100311,MongoDB
.NET,运维工具,Docker,100313,0/100275/100312/100313,Docker
.NET,运维工具,Kubernetes,100314,0/100275/100312/100314,Kubernetes
Golang,计算机语言方向,PHP,100317,0/100315/100316/100317,PHP
Golang,计算机语言方向,Shell,100318,0/100315/100316/100318,Shell
Golang,计算机语言方向,Python,100319,0/100315/100316/100319,Python
Golang,计算机语言方向,C/C++,100320,0/100315/100316/100320,C/C++
Golang,计算机语言方向,Java,100321,0/100315/100316/100321,Java
Golang,计算机语言方向,Perl,100322,0/100315/100316/100322,Perl
Golang,技术类型,微服务架构,100324,0/100315/100323/100324,"微服务架构,Microservices Architecture"
Golang,技术类型,容器技术,100325,0/100315/100323/100325,"容器技术,Container Technology"
Golang,技术类型,Socket技术,100326,0/100315/100323/100326,"Socket技术,Socket Technology"
Golang,技术类型,分布式技术,100327,0/100315/100323/100327,"分布式技术,Distributed Technology"
Golang,技术类型,网络协议,100328,0/100315/100323/100328,"网络协议,Network Protocol"
Golang,技术类型,多进程,100329,0/100315/100323/100329,"多进程,Multi-process"
Golang,技术类型,消息队列,100330,0/100315/100323/100330,"消息队列,Message Queues"
Golang,技术类型,网络编程,100331,0/100315/100323/100331,"网络编程,Network Programming"
Golang,技术类型,数据结构,100332,0/100315/100323/100332,"数据结构,Data Structure"
Golang,技术类型,多线程,100333,0/100315/100323/100333,"多线程,Multithreading"
Golang,系统类型,Linux,100335,0/100315/100334/100335,Linux
Golang,系统类型,Unix,100336,0/100315/100334/100336,Unix
Golang,软件开发方向,后端开发,100338,0/100315/100337/100338,"后端开发,Backend Development"
Golang,软件开发方向,服务端开发,100339,0/100315/100337/100339,"服务端开发,Server-side Development"
Golang,后端框架,gRPC,100341,0/100315/100340/100341,gRPC
Golang,后端框架,Beego,100342,0/100315/100340/100342,Beego
Golang,后端框架,Gin,100343,0/100315/100340/100343,Gin
Golang,数据库类型,MySQL,100345,0/100315/100344/100345,MySQL
Golang,数据库类型,Redis,100346,0/100315/100344/100346,Redis
Golang,运维工具,K8S,100348,0/100315/100347/100348,K8S
Golang,运维工具,Docker,100349,0/100315/100347/100349,Docker
Golang,运维工具,Kubernetes,100350,0/100315/100347/100350,Kubernetes
Node.js,计算机语言方向,Golang,100353,0/100351/100352/100353,Golang
Node.js,计算机语言方向,CSS,100354,0/100351/100352/100354,CSS
Node.js,计算机语言方向,SQL,100355,0/100351/100352/100355,SQL
Node.js,计算机语言方向,TypeScript,100356,0/100351/100352/100356,TypeScript
Node.js,计算机语言方向,PHP,100357,0/100351/100352/100357,PHP
Node.js,计算机语言方向,JavaScript,100358,0/100351/100352/100358,JavaScript
Node.js,计算机语言方向,Shell,100359,0/100351/100352/100359,Shell
Node.js,计算机语言方向,Python,100360,0/100351/100352/100360,Python
Node.js,计算机语言方向,ES6,100361,0/100351/100352/100361,ES6
Node.js,计算机语言方向,ES5,100362,0/100351/100352/100362,ES5
Node.js,计算机语言方向,XML,100363,0/100351/100352/100363,XML
Node.js,计算机语言方向,Java,100364,0/100351/100352/100364,Java
Node.js,计算机语言方向,HTML,100365,0/100351/100352/100365,HTML
Node.js,技术类型,AJAX,100367,0/100351/100366/100367,AJAX
Node.js,技术类型,Socket技术,100368,0/100351/100366/100368,"Socket技术,Socket Technology"
Node.js,技术类型,分布式技术,100369,0/100351/100366/100369,"分布式技术,Distributed Technology"
Node.js,系统类型,Linux,100371,0/100351/100370/100371,Linux
Node.js,系统类型,Unix,100372,0/100351/100370/100372,Unix
Node.js,软件开发方向,后端开发,100374,0/100351/100373/100374,"后端开发,Backend Development"
Node.js,软件开发方向,前端开发,100375,0/100351/100373/100375,"前端开发,Front-end development"
Node.js,前端框架,JQuery,100377,0/100351/100376/100377,JQuery
Node.js,前端框架,Vue,100378,0/100351/100376/100378,Vue
Node.js,前端框架,Angular,100379,0/100351/100376/100379,Angular
Node.js,前端框架,Bootstrap,100380,0/100351/100376/100380,Bootstrap
Node.js,前端框架,React,100381,0/100351/100376/100381,React
Node.js,后端框架,Pomelo,100383,0/100351/100382/100383,Pomelo
Node.js,后端框架,Egg,100384,0/100351/100382/100384,Egg
Node.js,后端框架,ThinkJS,100385,0/100351/100382/100385,ThinkJS
Node.js,后端框架,Express,100386,0/100351/100382/100386,Express
Node.js,后端框架,Koa,100387,0/100351/100382/100387,Koa
Node.js,软件开发工具,Kibana,100389,0/100351/100388/100389,Kibana
Node.js,软件开发工具,JSON,100390,0/100351/100388/100390,JSON
Node.js,软件开发工具,Redux,100391,0/100351/100388/100391,Redux
Node.js,软件开发工具,RabbitMQ,100392,0/100351/100388/100392,RabbitMQ
Node.js,软件开发工具,Sequelize,100393,0/100351/100388/100393,Sequelize
Node.js,数据库类型,PostgreSQL,100395,0/100351/100394/100395,PostgreSQL
Node.js,数据库类型,Oracle,100396,0/100351/100394/100396,Oracle
Node.js,数据库类型,MySQL,100397,0/100351/100394/100397,MySQL
Node.js,数据库类型,Redis,100398,0/100351/100394/100398,Redis
Node.js,数据库类型,SQL Server,100399,0/100351/100394/100399,SQL Server
Node.js,数据库类型,MongoDB,100400,0/100351/100394/100400,MongoDB
Hadoop,计算机语言方向,SQL,100403,0/100401/100402/100403,SQL
Hadoop,计算机语言方向,Python,100404,0/100401/100402/100404,Python
Hadoop,计算机语言方向,Scala,100405,0/100401/100402/100405,Scala
Hadoop,计算机语言方向,Java,100406,0/100401/100402/100406,Java
Hadoop,技术工作内容,大数据分析,100408,0/100401/100407/100408,"大数据分析,Big Data Analysis"
Hadoop,技术工作内容,大数据开发,100409,0/100401/100407/100409,"大数据开发,Big Data Development"
Hadoop,技术工作内容,架构设计,100410,0/100401/100407/100410,"架构设计,Architecture Design"
Hadoop,技术工作内容,离线计算,100411,0/100401/100407/100411,"离线计算,Offline computing"
Hadoop,技术工作内容,数仓建模,100412,0/100401/100407/100412,"数仓建模,Data warehouse modeling"
Hadoop,技术工作内容,数据架构,100413,0/100401/100407/100413,"数据架构,Data Architecture"
Hadoop,技术工作内容,数据集市,100414,0/100401/100407/100414,"数据集市,Data Mart"
Hadoop,技术工作内容,数据建模,100415,0/100401/100407/100415,"数据建模,Data Modeling"
Hadoop,技术工作内容,数据中台,100416,0/100401/100407/100416,"数据中台,Data Middle Center"
Hadoop,技术工作内容,数据运维,100417,0/100401/100407/100417,"数据运维,Data Operation and Maintenance"
Hadoop,技术工作内容,数据迁移,100418,0/100401/100407/100418,"数据迁移,Data Migration"
Hadoop,技术工作内容,数据清洗,100419,0/100401/100407/100419,"数据清洗,Data cleaning"
Hadoop,数据职能,数据仓库,100421,0/100401/100420/100421,"数据仓库,Data Warehouse"
Hadoop,数据职能,数据挖掘,100422,0/100401/100420/100422,"数据挖掘,Data Mining"
Hadoop,数据职能,数据治理,100423,0/100401/100420/100423,"数据治理,Data Governance"
Hadoop,数据职能,数据采集,100424,0/100401/100420/100424,"数据采集,Data collection"
Hadoop,数据职能,ETL,100425,0/100401/100420/100425,ETL
Hadoop,数据库类型,NoSQL,100427,0/100401/100426/100427,NoSQL
Hadoop,数据库类型,MySQL,100428,0/100401/100426/100428,MySQL
Hadoop,数据库类型,Redis,100429,0/100401/100426/100429,Redis
Hadoop,数据库类型,SparkSQL,100430,0/100401/100426/100430,SparkSQL
Hadoop,数据库类型,Kudu,100431,0/100401/100426/100431,Kudu
Hadoop,Hadoop组件/工具,Spark,100433,0/100401/100432/100433,Spark
Hadoop,Hadoop组件/工具,Presto,100434,0/100401/100432/100434,Presto
Hadoop,Hadoop组件/工具,Kylin,100435,0/100401/100432/100435,Kylin
Hadoop,Hadoop组件/工具,Streaming,100436,0/100401/100432/100436,Streaming
Hadoop,Hadoop组件/工具,Azkaban,100437,0/100401/100432/100437,Azkaban
Hadoop,Hadoop组件/工具,Kerberos,100438,0/100401/100432/100438,Kerberos
Hadoop,Hadoop组件/工具,Flink,100439,0/100401/100432/100439,Flink
Hadoop,Hadoop组件/工具,Flume,100440,0/100401/100432/100440,Flume
Hadoop,Hadoop组件/工具,Storm,100441,0/100401/100432/100441,Storm
Hadoop,Hadoop组件/工具,Kafka,100442,0/100401/100432/100442,Kafka
Hadoop,Hadoop组件/工具,Hbase,100443,0/100401/100432/100443,Hbase
Hadoop,Hadoop组件/工具,Impala,100444,0/100401/100432/100444,Impala
Hadoop,Hadoop组件/工具,MapReduce,100445,0/100401/100432/100445,MapReduce
Hadoop,Hadoop组件/工具,Yarn,100446,0/100401/100432/100446,Yarn
Hadoop,Hadoop组件/工具,Sqoop,100447,0/100401/100432/100447,Sqoop
Hadoop,Hadoop组件/工具,Oozie,100448,0/100401/100432/100448,Oozie
Hadoop,Hadoop组件/工具,HDFS,100449,0/100401/100432/100449,HDFS
Hadoop,ETL工具,DataX,100451,0/100401/100450/100451,DataX
Hadoop,ETL工具,Kettle,100452,0/100401/100450/100452,Kettle
语音/视频/图形开发,计算机语言方向,Python,100455,0/100453/100454/100455,Python
语音/视频/图形开发,计算机语言方向,Java,100456,0/100453/100454/100456,Java
语音/视频/图形开发,计算机语言方向,C++,100457,0/100453/100454/100457,C++
语音/视频/图形开发,技术工作内容,模式识别,100459,0/100453/100458/100459,"模式识别,Pattern Recognition"
