"一级","二级","职位名","职位id","职位编码","别名"
财务/人力资源/行政,人力资源,培训专员/助理,100871,"0/100860/100861/100871","培训专员/助理,培训SPECIALIST,TRAINING SPECIALIST,培训ASSISTANT,TRAINING助理,培训专员,培训担当,TRAINING ASSISTANT,TRAINING OFFICER,培训OFFICER,TRAINING专员,TRAINING担当,培训助理,培训岗,Training Specialist/Assistant"
财务/人力资源/行政,人力资源,薪资总监,100872,"0/100860/100861/100872","薪资总监,薪资GENERAL MANAGER,C&B DIRECTOR,薪酬GENERAL MANAGER,薪酬HEAD,薪资部长,C&B GENERAL MANAGER,C&B总监,PAYROLL DIRECTOR,PAYROLL总监,PAYROLL部长,薪资总经理,C&B HEAD,PAYROLL HEAD,薪酬总监,C&B总经理,薪酬部长,C&B部长,薪酬总经理,薪资DIRECTOR,PAYROLL总经理,薪酬DIRECTOR,PAYROLL GENERAL MANAGER,薪资HEAD"
财务/人力资源/行政,人力资源,薪资经理/主管,100873,"0/100860/100861/100873","薪资经理/主管,薪酬SUPERVISOR,薪酬主任,薪资LEAD,C&B负责人,C&B LEADER,C&B主任,PAYROLL MANAGER,薪资SUPERVISOR,C&B经理,C&B主管,PAYROLL LEADER,PAYROLL LEAD,薪资MANAGER,PAYROLL SUPERVISOR,薪酬MANAGER,PAYROLL主管,PAYROLL负责人,薪资负责人,薪酬LEAD,薪酬经理,C&B SUPERVISOR,薪资经理,PAYROLL经理,PAYROLL主任,薪资主管,薪酬负责人,薪酬主管,薪酬LEADER,薪资主任,C&B LEAD,薪资LEADER,C&B MANAGER,Payroll Manager/Supervisor"
财务/人力资源/行政,人力资源,薪资专员/助理,100874,"0/100860/100861/100874","薪资专员/助理,薪酬担当,C&B担当,薪资助理,C&B专员,PAYROLL OFFICER,薪酬专员,PAYROLL SPECIALIST,薪酬助理,薪酬SPECIALIST,薪资ASSISTANT,薪酬ASSISTANT,PAYROLL ASSISTANT,薪酬OFFICER,薪资担当,C&B OFFICER,薪资OFFICER,PAYROLL专员,C&B SPECIALIST,薪资SPECIALIST,C&B ASSISTANT,C&B助理,PAYROLL助理,PAYROLL担当,薪资专员,薪资岗,Payroll Specialist/Assistant"
财务/人力资源/行政,人力资源,社保福利总监,100875,"0/100860/100861/100875","社保福利总监,BENEFIT GENERAL MANAGER,C&B DIRECTOR,福利DIRECTOR,BENEFIT部长,BENEFIT HEAD,社保GENERAL MANAGER,C&B GENERAL MANAGER,社保总经理,福利总经理,C&B总监,C&B HEAD,C&B总经理,福利GENERAL MANAGER,福利总监,C&B部长,BENEFIT DIRECTOR,社保总监,社保部长,社保DIRECTOR,BENEFIT总监,福利HEAD,社保HEAD,福利部长,BENEFIT总经理,Social Security and Welfare Director"
财务/人力资源/行政,人力资源,社保福利经理/主管,100876,"0/100860/100861/100876","社保福利经理/主管,福利LEAD,BENEFIT主任,BENEFIT经理,C&B负责人,福利经理,社保主任,C&B LEADER,C&B主任,BENEFIT LEAD,C&B经理,C&B主管,福利SUPERVISOR,社保经理,BENEFIT负责人,社保负责人,BENEFIT MANAGER,福利主任,社保MANAGER,C&B SUPERVISOR,社保主管,社保LEADER,福利主管,福利负责人,福利MANAGER,社保LEAD,C&B LEAD,福利LEADER,BENEFIT SUPERVISOR,社保SUPERVISOR,C&B MANAGER,BENEFIT主管,BENEFIT LEADER,Social Security and Welfare Manager/Supervisor"
财务/人力资源/行政,人力资源,社保福利专员/助理,100877,"0/100860/100861/100877","社保福利专员/助理,社保助理,BENEFIT助理,C&B担当,C&B专员,社保专员,社保OFFICER,福利OFFICER,社保SPECIALIST,BENEFIT担当,福利助理,福利担当,社保担当,BENEFIT OFFICER,福利SPECIALIST,BENEFIT ASSISTANT,C&B OFFICER,社保ASSISTANT,C&B SPECIALIST,C&B ASSISTANT,C&B助理,BENEFIT专员,福利ASSISTANT,福利专员,BENEFIT SPECIALIST,社保福利岗,Social Security and Welfare Specialist/Assistant"
财务/人力资源/行政,人力资源,绩效总监,100878,"0/100860/100861/100878","绩效总监,PERFORMANCE部长,PERFORMANCE GENERAL MANAGER,绩效HEAD,考核部长,考核GENERAL MANAGER,绩效部长,PERFORMANCE DIRECTOR,考核总监,考核HEAD,绩效GENERAL MANAGER,考核总经理,PERFORMANCE总监,绩效DIRECTOR,绩效总经理,PERFORMANCE总经理,考核DIRECTOR,PERFORMANCE HEAD"
财务/人力资源/行政,人力资源,绩效经理/主管,100879,"0/100860/100861/100879","绩效经理/主管,绩效SUPERVISOR,考核主任,绩效LEADER,绩效负责人,PERFORMANCE SUPERVISOR,绩效主管,PERFORMANCE LEAD,绩效主任,考核LEAD,考核LEADER,考核主管,绩效LEAD,考核SUPERVISOR,PERFORMANCE负责人,PERFORMANCE MANAGER,PERFORMANCE主管,绩效MANAGER,PERFORMANCE经理,PERFORMANCE主任,PERFORMANCE LEADER,考核MANAGER,绩效经理,考核经理,考核负责人,Performance Manager/Supervisor"
财务/人力资源/行政,人力资源,绩效专员/助理,100880,"0/100860/100861/100880","绩效专员/助理,考核担当,PERFORMANCE担当,绩效SPECIALIST,PERFORMANCE OFFICER,PERFORMANCE助理,PERFORMANCE ASSISTANT,绩效专员,考核专员,考核OFFICER,绩效OFFICER,考核ASSISTANT,绩效助理,绩效担当,考核SPECIALIST,PERFORMANCE专员,PERFORMANCE SPECIALIST,绩效ASSISTANT,考核助理,Performance Specialist/Assistant"
财务/人力资源/行政,人力资源,员工关系总监,100881,"0/100860/100861/100881","员工关系总监,ER总监,ERD HEAD,EMPLOYEE RELATIONSHIP HEAD,员工关系DIRECTOR,员工沟通HEAD,ERD总经理,EMPLOYEE RELATIONSHIP总经理,ER总经理,员工沟通总经理,EMPLOYEE RELATIONSHIP总监,EMPLOYEE RELATIONSHIP部长,EMPLOYEE RELATIONSHIP GENERAL MANAGER,员工关系HEAD,ER GENERAL MANAGER,员工沟通GENERAL MANAGER,ERD总监,ERD GENERAL MANAGER,员工关系总经理,ER HEAD,EMPLOYEE RELATIONSHIP DIRECTOR,员工关系部长,员工沟通部长,ERD部长,ERD DIRECTOR,员工沟通总监,ER DIRECTOR,员工关系GENERAL MANAGER,ER部长,员工沟通DIRECTOR,Employee Relations Director"
财务/人力资源/行政,人力资源,员工关系经理/主管,100882,"0/100860/100861/100882","员工关系经理/主管,ERM SUPERVISOR,ER经理,员工关系LEAD,EMPLOYEE RELATIONSHIP主管,员工沟通主任,员工关系LEADER,员工沟通主管,员工沟通MANAGER,员工沟通LEADER,ER主任,EMPLOYEE RELATIONSHIP LEADER,ER LEAD,EMPLOYEE RELATIONSHIP主任,ER LEADER,ERM负责人,ER主管,员工关系SUPERVISOR,EMPLOYEE RELATIONSHIP经理,员工关系主任,员工关系经理,ERM LEAD,员工沟通SUPERVISOR,ER负责人,ERM主任,员工关系主管,员工关系负责人,ER SUPERVISOR,员工沟通LEAD,ER MANAGER,ERM LEADER,ERM MANAGER,EMPLOYEE RELATIONSHIP LEAD,员工关系MANAGER,EMPLOYEE RELATIONSHIP SUPERVISOR,员工沟通负责人,ERM主管,EMPLOYEE RELATIONSHIP负责人,ERM经理,EMPLOYEE RELATIONSHIP MANAGER,员工沟通经理,Employee Relations Manager/Supervisor"
财务/人力资源/行政,人力资源,员工关系,100883,"0/100860/100861/100883","员工关系,EMPLOYEE RELATIONSHIP SPECIALIST,EMPLOYEE RELATIONSHIP担当,员工沟通SPECIALIST,EMPLOYEE RELATIONSHIP专员,ER OFFICER,员工沟通助理,员工沟通ASSISTANT,员工关系担当,EMPLOYEE RELATIONSHIP ASSISTANT,员工沟通专员,ER担当,EMPLOYEE RELATIONSHIP助理,员工沟通担当,ER SPECIALIST,员工关系助理,员工关系专员,员工关系SPECIALIST,员工关系OFFICER,员工关系ASSISTANT,EMPLOYEE RELATIONSHIP OFFICER,员工沟通OFFICER,员工关系岗,ER助理,ER专员,ER ASSISTANT,Employee Relations"
财务/人力资源/行政,人力资源,企业文化总监,100884,"0/100860/100861/100884","企业文化总监,COMPANY CULTURE总经理,企业文化DIRECTOR,COMPANY CULTURE GENERAL MANAGER,企业文化HEAD,COMPANY CULTURE HEAD,企业文化GENERAL MANAGER,企业文化总经理,企业文化部长,COMPANY CULTURE DIRECTOR,COMPANY CULTURE总监,COMPANY CULTURE部长,Corporate Culture Director"
财务/人力资源/行政,人力资源,企业文化经理/主管,100885,"0/100860/100861/100885","企业文化经理/主管,企业文化主任,COMPANY CULTURE负责人,COMPANY CULTURE主管,企业文化SUPERVISOR,COMPANY CULTURE LEAD,COMPANY CULTURE LEADER,企业文化MANAGER,企业文化主管,COMPANY CULTURE主任,COMPANY CULTURE MANAGER,企业文化LEADER,企业文化负责人,COMPANY CULTURE经理,COMPANY CULTURE SUPERVISOR,企业文化经理,企业文化LEAD,Corporate Culture Manager/Supervisor"
财务/人力资源/行政,人力资源,企业文化,100886,"0/100860/100861/100886","企业文化,COMPANY CULTURE SPECIALIST,企业文化专员,COMPANY CULTURE担当,企业文化担当,企业文化OFFICER,企业文化助理,COMPANY CULTURE专员,企业文化SPECIALIST,COMPANY CULTURE OFFICER,COMPANY CULTURE ASSISTANT,COMPANY CULTURE助理,企业文化ASSISTANT,企宣,企业文化岗,Corporate Culture"
财务/人力资源/行政,人力资源,组织发展总监,100887,"0/100860/100861/100887","组织发展总监,组织发展HEAD,OD总经理,ORGANIZATION DEVELOPMENT总经理,ORGANIZATION DEVELOPMENT GENERAL MANAGER,组织与人才发展HEAD,OD DIRECTOR,组织与人才发展总监,组织发展部长,组织与人才发展部长,OD HEAD,ORGANIZATION DEVELOPMENT总监,组织发展总经理,组织与人才发展DIRECTOR,ORGANIZATION DEVELOPMENT DIRECTOR,组织发展GENERAL MANAGER,组织与人才发展GENERAL MANAGER,OD GENERAL MANAGER,ORGANIZATION DEVELOPMENT部长,组织与人才发展总经理,ORGANIZATION DEVELOPMENT HEAD,OD总监,OD部长,组织发展DIRECTOR,Organizational Development Director"
财务/人力资源/行政,人力资源,组织发展经理/主管,100888,"0/100860/100861/100888","组织发展经理/主管,ORGANIZATION DEVELOPMENT主管,组织与人才发展经理,组织与人才发展MANAGER,组织发展LEAD,组织与人才发展SUPERVISOR,OD经理,OD MANAGER,OD主管,组织发展负责人,ORGANIZATION DEVELOPMENT MANAGER,组织与人才发展主管,OD LEADER,ORGANIZATION DEVELOPMENT LEADER,ORGANIZATION DEVELOPMENT主任,组织发展LEADER,ORGANIZATION DEVELOPMENT经理,组织与人才发展LEAD,组织发展主管,组织与人才发展主任,组织发展主任,ORGANIZATION DEVELOPMENT负责人,OD LEAD,ORGANIZATION DEVELOPMENT LEAD,OD负责人,OD SUPERVISOR,组织发展MANAGER,ORGANIZATION DEVELOPMENT SUPERVISOR,组织发展经理,组织发展SUPERVISOR,OD主任,组织与人才发展负责人,组织与人才发展LEADER,Organizational Development Manager/Director"
财务/人力资源/行政,人力资源,组织发展,100889,"0/100860/100861/100889","组织发展,组织发展ASSISTANT,组织发展SPECIALIST,ORGANIZATION DEVELOPMENT OFFICER,OD助理,OD专员,组织发展担当,OD OFFICER,OD SPECIALIST,ORGANIZATION DEVELOPMENT SPECIALIST,组织发展OFFICER,组织发展专员,ORGANIZATION DEVELOPMENT助理,组织与人才发展SPECIALIST,OD担当,ORGANIZATION DEVELOPMENT担当,ORGANIZATION DEVELOPMENT ASSISTANT,组织与人才发展专员,OD ASSISTANT,组织与人才发展ASSISTANT,组织与人才发展助理,组织发展助理,组织与人才发展担当,ORGANIZATION DEVELOPMENT专员,组织与人才发展OFFICER,组织发展岗,Organizational Development"
财务/人力资源/行政,人力资源,员工发展总监,100890,"0/100860/100861/100890","员工发展总监,员工发展总经理,LEARNING AND DEVELOPMENT GENERAL MANAGER,人才发展总监,LEARNING AND DEVELOPMENT总经理,员工发展DIRECTOR,员工发展HEAD,人才发展DIRECTOR,LEARNING AND DEVELOPMENT部长,LEARNING AND DEVELOPMENT总监,人才发展HEAD,人才发展部长,LEARNING AND DEVELOPMENT HEAD,员工发展GENERAL MANAGER,员工发展部长,LEARNING AND DEVELOPMENT DIRECTOR,人才发展GENERAL MANAGER,人才发展总经理,Employee Development Director"
财务/人力资源/行政,人力资源,员工发展经理/主管,100891,"0/100860/100861/100891","员工发展经理/主管,员工发展LEAD,人才发展经理,人才发展MANAGER,人才发展SUPERVISOR,员工发展LEADER,员工发展主管,LEARNING AND DEVELOPMENT主任,员工发展主任,人才发展主管,LEARNING AND DEVELOPMENT负责人,LEARNING AND DEVELOPMENT SUPERVISOR,人才发展LEAD,员工发展经理,员工发展负责人,LEARNING AND DEVELOPMENT MANAGER,人才发展主任,LEARNING AND DEVELOPMENT主管,员工发展MANAGER,LEARNING AND DEVELOPMENT经理,LEARNING AND DEVELOPMENT LEADER,LEARNING AND DEVELOPMENT LEAD,员工发展SUPERVISOR,人才发展LEADER,人才发展负责人,Employee Development Manager/Supervisor"
财务/人力资源/行政,人力资源,员工发展,100892,"0/100860/100861/100892","员工发展,员工发展担当,LEARNING AND DEVELOPMENT ASSISTANT,员工发展专员,人才发展SPECIALIST,LEARNING AND DEVELOPMENT专员,LEARNING AND DEVELOPMENT SPECIALIST,LEARNING AND DEVELOPMENT OFFICER,人才发展专员,员工发展ASSISTANT,人才发展ASSISTANT,员工发展SPECIALIST,人才发展助理,员工发展助理,LEARNING AND DEVELOPMENT助理,LEARNING AND DEVELOPMENT担当,员工发展OFFICER,人才发展担当,人才发展OFFICER,员工发展岗,LD,人才发展专家,Employee Development"
财务/人力资源/行政,人力资源,档案管理总监,100893,"0/100860/100861/100893","档案管理总监,档案总监,档案部长,档案总经理,Archives Management Director"
财务/人力资源/行政,人力资源,档案管理经理/主管,100894,"0/100860/100861/100894","档案管理经理/主管,档案经理,档案主管,档案负责人,档案主任,Archives Management Manager/Supervisor"
财务/人力资源/行政,人力资源,档案管理,100895,"0/100860/100861/100895","档案管理,档案担当,档案助理,档案专员,档案管理岗,Archives Management"
财务/人力资源/行政,人力资源,党务管理,100896,"0/100860/100861/100896","党务管理,党务,党建,党委,政工,党群,党办,党宣,党团,工会,党工,Party Affairs Management"
财务/人力资源/行政,人力资源,人力发展规划COE总监,100897,"0/100860/100861/100897","人力发展规划COE总监,人力发展总监,COE HEAD,COE DIRECTOR,CENTER OF EXCELLENCE DIRECTOR,人力发展HEAD,人力发展部长,人力发展总经理,CENTER OF EXCELLENCE部长,CENTER OF EXPERTISE GENERAL MANAGER,CENTER OF EXPERTISE DIRECTOR,CENTER OF EXCELLENCE HEAD,CENTER OF EXPERTISE部长,CENTER OF EXPERTISE HEAD,CENTER OF EXCELLENCE总经理,CENTER OF EXCELLENCE GENERAL MANAGER,人力发展DIRECTOR,COE总监,COE部长,人力发展GENERAL MANAGER,CENTER OF EXPERTISE总监,COE GENERAL MANAGER,COE总经理,CENTER OF EXPERTISE总经理,CENTER OF EXCELLENCE总监,Human Resources Development Planning COE Director"
财务/人力资源/行政,人力资源,人力发展规划COE经理/主管,100898,"0/100860/100861/100898","人力发展规划COE经理/主管,CENTER OF EXCELLENCE主管,COE LEADER,COE LEAD,人力发展负责人,COE经理,人力发展MANAGER,COE负责人,CENTER OF EXPERTISE MANAGER,人力发展SUPERVISOR,人力发展主管,CENTER OF EXCELLENCE经理,CENTER OF EXCELLENCE MANAGER,CENTER OF EXPERTISE主任,COE主任,CENTER OF EXCELLENCE主任,CENTER OF EXPERTISE主管,CENTER OF EXCELLENCE LEAD,人力发展LEADER,COE MANAGER,CENTER OF EXPERTISE负责人,人力发展主任,CENTER OF EXPERTISE经理,CENTER OF EXPERTISE LEADER,COE SUPERVISOR,CENTER OF EXPERTISE LEAD,CENTER OF EXCELLENCE负责人,COE主管,人力发展LEAD,CENTER OF EXCELLENCE LEADER,人力发展经理,CENTER OF EXPERTISE SUPERVISOR,CENTER OF EXCELLENCE SUPERVISOR,Human Resources Development Planning COE Manager/Supervisor"
财务/人力资源/行政,人力资源,人力发展规划COE,100899,"0/100860/100861/100899","人力发展规划COE,人力发展ASSISTANT,CENTER OF EXPERTISE担当,CENTER OF EXCELLENCE担当,CENTER OF EXCELLENCE专员,人力发展助理,CENTER OF EXPERTISE OFFICER,COE助理,CENTER OF EXCELLENCE ASSISTANT,CENTER OF EXCELLENCE SPECIALIST,COE OFFICER,人力发展OFFICER,COE专员,CENTER OF EXCELLENCE OFFICER,CENTER OF EXCELLENCE助理,人力发展专员,人力发展担当,CENTER OF EXPERTISE ASSISTANT,COE SPECIALIST,COE担当,CENTER OF EXPERTISE SPECIALIST,CENTER OF EXPERTISE专员,CENTER OF EXPERTISE助理,COE ASSISTANT,人力发展SPECIALIST,人力发展岗,Human Resources Development Planning COE"
财务/人力资源/行政,人力资源,COE招聘总监,100900,"0/100860/100861/100900","COE招聘总监,COE OF TALENT ACQUISITION HEAD,COE招聘GENERAL MANAGER,COE OF TALENT ACQUISITION总监,COE RECUITER总监,COE RECUITER DIRECTOR,COE OF TALENT ACQUISITION GENERAL MANAGER,COE招聘总经理,COE 招聘部长,COE招聘DIRECTOR,COE 招聘DIRECTOR,COE RECUITER部长,COE OF TALENT ACQUISITION部长,COE OF TALENT ACQUISITION DIRECTOR,COE 招聘总经理,COE RECUITER GENERAL MANAGER,COE OF TALENT ACQUISITION总经理,COE 招聘总监,COE招聘HEAD,COE 招聘HEAD,COE招聘部长,COE RECUITER HEAD,COE 招聘GENERAL MANAGER,COE RECUITER总经理,COE Recruitment Director"
财务/人力资源/行政,人力资源,COE招聘经理/主管,100901,"0/100860/100861/100901","COE招聘经理/主管,COE 招聘主任,COE招聘负责人,COE招聘经理,COE RECUITER主任,COE OF TALENT ACQUISITION LEADER,COE招聘SUPERVISOR,COE RECUITER SUPERVISOR,COE RECUITER LEAD,COE OF TALENT ACQUISITION主任,COE 招聘主管,COE 招聘MANAGER,COE 招聘负责人,COE RECUITER LEADER,COE OF TALENT ACQUISITION MANAGER,COE OF TALENT ACQUISITION负责人,COE 招聘SUPERVISOR,COE RECUITER负责人,COE RECUITER经理,COE OF TALENT ACQUISITION经理,COE 招聘经理,COE OF TALENT ACQUISITION主管,COE 招聘LEAD,COE招聘主管,COE RECUITER MANAGER,COE招聘LEAD,COE OF TALENT ACQUISITION LEAD,COE招聘LEADER,COE招聘主任,COE 招聘LEADER,COE OF TALENT ACQUISITION SUPERVISOR,COE招聘MANAGER,COE RECUITER主管,COE Recruitment Manager/Supervisor"
财务/人力资源/行政,人力资源,COE招聘专员,100902,"0/100860/100861/100902","COE招聘专员,COE招聘SPECIALIST,COE OF TALENT ACQUISITION ASSISTANT,COE 招聘OFFICER,COE 招聘专员,COE招聘OFFICER,COE RECUITER OFFICER,COE OF TALENT ACQUISITION助理,COE OF TALENT ACQUISITION SPECIALIST,COE招聘担当,COE 招聘SPECIALIST,COE OF TALENT ACQUISITION专员,COE OF TALENT ACQUISITION OFFICER,COE RECUITER ASSISTANT,COE OF TALENT ACQUISITION担当,COE RECUITER助理,COE RECUITER专员,COE 招聘ASSISTANT,COE 招聘助理,COE RECUITER担当,COE招聘ASSISTANT,COE招聘助理,COE 招聘担当,COE RECUITER SPECIALIST,COE Recruitment Specialist"
财务/人力资源/行政,人力资源,COE薪酬绩效总监,100903,"0/100860/100861/100903","COE薪酬绩效总监,COE 薪酬GENERAL MANAGER,COE薪酬GENERAL MANAGER,COE C&B总经理,COE薪酬DIRECTOR,COE薪酬总经理,COE C&B总监,COE C&B GENERAL MANAGER,COE薪酬HEAD,COE 薪酬DIRECTOR,COE C&B部长,COE C&B DIRECTOR,COE 薪酬总监,COE薪酬部长,COE 薪酬部长,COE薪酬总监,COE 薪酬总经理,COE 薪酬HEAD,COE C&B HEAD,COE Compensation and Performance Director"
财务/人力资源/行政,人力资源,COE薪资/薪酬福利经理/主管,100904,"0/100860/100861/100904","COE薪资/薪酬福利经理/主管,COE 薪酬负责人,COE C&B经理,COE薪酬SUPERVISOR,COE薪酬负责人,COE薪酬MANAGER,COE薪酬主任,COE 薪酬SUPERVISOR,COE C&B负责人,COE C&B MANAGER,COE 薪酬经理,COE薪酬LEADER,COE薪酬LEAD,COE薪酬主管,COE 薪酬LEAD,COE C&B主任,COE 薪酬主管,COE 薪酬MANAGER,COE 薪酬LEADER,COE C&B SUPERVISOR,COE薪酬经理,COE C&B主管,COE 薪酬主任,COE C&B LEAD,COE C&B LEADER,COE Salary/Compensation and Benefits Manager/Supervisor"
财务/人力资源/行政,人力资源,COE薪资/薪酬福利专员,100905,"0/100860/100861/100905","COE薪资/薪酬福利专员,COE C&B担当,COE C&B SPECIALIST,COE C&B助理,COE薪酬SPECIALIST,COE 薪酬专员,COE 薪酬担当,COE薪酬助理,COE薪酬ASSISTANT,COE 薪酬助理,COE 薪酬ASSISTANT,COE C&B专员,COE薪酬专员,COE C&B OFFICER,COE薪酬担当,COE C&B ASSISTANT,COE薪酬OFFICER,COE 薪酬SPECIALIST,COE 薪酬OFFICER,COE Salary/Compensation and Benefits Specialist"
财务/人力资源/行政,人力资源,人力资源伙伴HRBP总监,100906,"0/100860/100861/100906","人力资源伙伴HRBP总监,HRBP GENERAL MANAGER,人力资源伙伴总经理,人力资源业务合作GENERAL MANAGER,HR BP HEAD,人事业务合作DIRECTOR,HRBP部长,HR BP DIRECTOR,人事业务合作部长,人力业务合作伙伴部长,人力资源业务合作总经理,HRBP总监,人力业务合作伙伴总经理,HRBP HEAD,人力资源伙伴DIRECTOR,人事业务合作总监,人力资源业务合作总监,人力业务合作伙伴总监,人事业务合作总经理,HR BP总经理,HR BP GENERAL MANAGER,人力业务合作伙伴DIRECTOR,HR BP部长,HR BP总监,人力业务合作伙伴GENERAL MANAGER,人力资源业务合作HEAD,人事业务合作GENERAL MANAGER,人力资源业务合作DIRECTOR,人力资源伙伴GENERAL MANAGER,人事业务合作HEAD,人力资源伙伴总监,人力业务合作伙伴HEAD,人力资源业务合作部长,人力资源伙伴部长,人力资源伙伴HEAD,HRBP总经理,HRBP DIRECTOR"
